Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2022,Fernando Daniel ,Domínguez Castaneda,7,7,2,7,7,0,30,84,Silver medal
2016,Dennis Joaquín,Díaz Díaz,7,0,0,7,0,7,21,146,Bronze medal
2017,Rodrigo Alberto,Vásquez Posada,7,3,0,7,0,0,17,188,Bronze medal
2021,José Manuel,Cabrera Guardado,7,0,0,7,0,0,14,218,Bronze medal
2020,Fernando Daniel,Domínguez Castaneda,7,7,0,4,0,0,18,248,Bronze medal
2019,Amaury Antonio,Valle López,7,1,0,7,2,0,17,275,Bronze medal
2019,Jaime Sebastián,Punyed González,7,1,0,7,2,0,17,275,Bronze medal
2005,Gabriel Alexander,Chicas Reyes,2,1,0,1,7,0,11,249,Honourable mention
2021,Fernando Daniel,Domínguez Castaneda,7,0,0,4,0,0,11,304,Honourable mention
2020,José Manuel,Cabrera Guardado,7,2,0,5,0,0,14,317,Honourable mention
2005,Eduardo,Arnoldo Aguilar Cañas,7,1,0,0,1,0,9,277,Honourable mention
2017,Diego Alejandro,Flores Menjívar,7,0,0,7,0,0,14,342,Honourable mention
2018,Amaury Antonio,Valle López,7,3,0,2,0,0,12,338,Honourable mention
2012,Byron Thonatiu,Escobar Benítez,7,1,0,1,2,0,11,315,Honourable mention
2012,Manuel Alejandro,Mundo Dueñas,7,0,0,2,2,0,11,315,Honourable mention
2016,Gabriel Emiliano,Carranza Menjívar,7,0,0,0,0,6,13,355,Honourable mention
2023,Enrique Adonay,Hernández Rafaelano,7,7,0,1,0,0,15,366,Honourable mention
2020,Andrés Agustín,Martínez Girón,7,0,0,4,0,0,11,371,Honourable mention
2016,Rodrigo Alberto,Vásquez Posada,7,0,0,5,0,0,12,368,Honourable mention
2020,Jaime Sebastián,Punyed González,7,2,1,0,0,0,10,384,Honourable mention
2017,Dennis Joaquín,Díaz Díaz,7,2,0,4,0,0,13,390,Honourable mention
2017,Gabriel Emiliano,Carranza Menjívar,4,0,0,7,2,0,13,390,Honourable mention
2022,José Manuel,Cabrera Guardado,5,2,0,7,2,0,16,377,Honourable mention
2010,Nahomy Jhopselyn,Hernández Cruz,5,0,0,7,0,0,12,337,Honourable mention
2007,Mario José,Castro Hernández,0,1,0,7,1,0,9,344,Honourable mention
2006,Mario José,Castro Hernández,7,1,0,2,0,0,10,335,Honourable mention
2006,Gabriel Alexander,Chicas Reyes,7,1,0,2,0,0,10,335,Honourable mention
2023,Maryorie Damaris,Cabrera Silvas,7,3,0,1,0,0,11,425,Honourable mention
2008,Luis Damián,Reyes Rodríguez,7,1,0,0,0,0,8,368,Honourable mention
2018,Diego Alejandro,Flores Menjívar,7,0,0,0,1,0,8,413,Honourable mention
2007,Gabriel Alexander,Chicas Reyes,0,1,0,7,0,0,8,365,Honourable mention
2007,Alfonso Abraham,Alvarenga Gamero,0,1,0,7,0,0,8,365,Honourable mention
2024,Enrique Adonay,Hernández Rafaelano,3,0,0,7,0,0,10,434,Honourable mention
2008,Nahomy Jhopselyn,Hernández Cruz,7,0,0,0,0,0,7,392,Honourable mention
2008,Héctor Enmanuel,Alberti Arroyo,7,0,0,0,0,0,7,392,Honourable mention
2016,Carlos Rafael,Gil Alvarado,7,0,0,0,0,0,7,443,Honourable mention
2016,Diego Alejandro,Flores Menjívar,7,0,0,0,0,0,7,443,Honourable mention
2023,Fernando Andree,González Meléndez,7,0,0,2,0,0,9,459,Honourable mention
2013,Jeanette Alejandra,Fernández Rivera,0,0,0,7,0,0,7,394,Honourable mention
2013,Manuel Alejandro,Mundo Dueñas,0,0,0,7,0,0,7,394,Honourable mention
2010,Byron Thonatiu,Escobar Benítez,1,0,0,7,0,0,8,401,Honourable mention
2022,Enrique Adonay,Hernández Rafaelano,1,1,0,7,1,0,10,458,Honourable mention
2008,Otto,Tang Chen,6,1,0,1,1,0,9,346,
