Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Teodor,von Burg,5,7,4,7,7,7,37,3,Gold medal
2012,Teodor,von Burg,7,7,7,6,7,4,38,4,Gold medal
2019,Jelena,Ivančić,7,6,7,7,7,7,41,7,Gold medal
2011,Teodor,von Burg,7,7,2,7,7,0,30,14,Gold medal
2007,Mladen,Radojević,3,6,7,7,7,0,30,19,Gold medal
2018,Aleksa,Milojević,7,7,3,7,7,2,33,24,Gold medal
2019,Pavle,Martinović,7,6,7,7,7,0,34,28,Gold medal
2018,Pavle,Martinović,7,7,2,7,7,2,32,27,Gold medal
2009,Teodor,von Burg,7,7,7,6,7,0,34,27,Gold medal
2020,Dobrica,Jovanović,7,7,3,7,7,1,32,34,Gold medal
2019,Aleksa,Milojević,7,7,4,7,7,1,33,39,Gold medal
2015,Aleksa,Konstantinov,7,5,0,7,7,0,26,37,Gold medal
2013,Žarko,Ranđelović,7,3,7,7,7,0,31,34,Gold medal
2021,Dobrica,Jovanović,7,4,2,7,7,0,27,41,Gold medal
2014,Žarko,Ranđelović,7,7,7,7,1,0,29,40,Gold medal
2008,Luka,Milićević,7,7,2,7,7,1,31,43,Gold medal
2020,Jovan,Toromanović,7,7,7,1,7,1,30,50,Silver medal
2024,Stefan,Šebez,7,7,0,7,7,0,28,59,Silver medal
2021,Mateja,Vukelić,7,0,1,7,7,0,22,63,Silver medal
2008,Dušan,Milijančević,7,7,7,7,1,0,29,57,Silver medal
2009,Mihajlo,Cekić,7,7,1,7,7,0,29,62,Silver medal
2022,Gvozden,Lapčević,7,7,2,7,7,1,31,68,Silver medal
2017,Marko,Medvedev,7,7,0,7,1,0,22,72,Silver medal
2011,Igor,Spasojević,7,0,7,7,3,1,25,66,Silver medal
2010,Luka,Milićević,6,7,3,7,0,0,23,64,Silver medal
2012,Dušan,Šobot,7,7,0,3,7,0,24,72,Silver medal
2008,Teodor,von Burg,7,2,6,7,4,1,27,71,Silver medal
2017,Ognjen,Tošić,7,7,0,7,0,0,21,82,Silver medal
2022,Mateja,Vukelić,7,7,1,7,7,1,30,84,Silver medal
2010,Mihajlo,Cekić,7,7,0,7,1,0,22,76,Silver medal
2010,Dušan,Milijančević,7,7,0,7,1,0,22,76,Silver medal
2008,Marija,Jelić,7,5,0,7,7,0,26,78,Silver medal
2018,Igor,Medvedev,7,7,0,7,7,0,28,87,Silver medal
2011,Stevan,Gajović,7,1,0,7,7,1,23,83,Silver medal
2024,Gvozden,Lapčević,7,7,1,7,3,0,25,90,Silver medal
2024,Mihailo,Jančević,7,1,7,0,7,3,25,90,Silver medal
2017,Aleksa,Milojević,5,7,0,7,1,0,20,103,Silver medal
2021,Veljko,Radić,7,3,0,4,7,0,21,105,Silver medal
2009,Dušan,Milijančević,7,7,2,7,4,0,27,101,Silver medal
2009,Luka,Milićević,7,7,1,5,7,0,27,101,Silver medal
2017,Pavle,Martinović,7,3,0,7,2,0,19,115,Silver medal
2016,Aleksa,Milojević,7,7,0,7,1,1,23,114,Silver medal
2023,Mateja,Vukelić,7,6,0,7,7,0,27,119,Silver medal
2014,Anđela,Šarković,7,7,0,7,2,0,23,109,Silver medal
2020,Vukašin,Mihajlović,7,3,1,7,7,1,26,121,Silver medal
2015,Anđela,Šarković,7,2,0,7,3,0,19,118,Silver medal
2012,Ivan,Tanasijević,7,0,0,7,7,0,21,112,Silver medal
2024,Novak,Despotović,7,2,6,7,0,1,23,125,Silver medal
2019,Miloš,Milićev,7,7,1,7,2,1,25,132,Silver medal
2018,Jelena,Ivančić,7,7,0,4,7,0,25,131,Silver medal
2014,Luka,Vukelić,7,7,0,7,1,0,22,124,Silver medal
2014,Dušan,Drobnjak,7,6,0,7,2,0,22,124,Silver medal
2013,Maksim,Stokić,7,3,0,7,7,0,24,131,Silver medal
2023,Aleksandar,Višnjić,7,3,0,7,7,0,24,145,Bronze medal
2015,Ivan,Damnjanović,7,1,0,7,3,0,18,140,Bronze medal
2007,Teodor,von Burg,3,7,2,6,1,0,19,133,Bronze medal
2007,Marko,Jevremović,3,7,0,7,1,1,19,133,Bronze medal
2012,Igor,Spasojević,7,7,0,3,3,0,20,140,Bronze medal
2009,Vukašin,Stojisavljević,7,7,0,6,3,0,23,148,Bronze medal
2018,Jovan,Toromanović,7,2,0,7,7,0,23,157,Bronze medal
2015,Ognjen,Tošić,7,2,1,6,1,0,17,160,Bronze medal
2007,Marija,Jelić,4,0,0,7,7,0,18,145,Bronze medal
2016,Aleksa,Konstantinov,7,2,0,7,4,0,20,169,Bronze medal
2021,Miloš,Milićev,7,0,1,7,0,0,15,180,Bronze medal
2006,Marijana,Smailagić,7,1,1,7,1,0,17,150,Bronze medal
2017,Igor,Medvedev,7,3,0,7,0,0,17,188,Bronze medal
2017,Jelena,Ivančić,7,3,0,7,0,0,17,188,Bronze medal
2022,Milan,Gelić,7,7,2,7,4,0,27,187,Bronze medal
2006,Marko,Jevremović,7,1,1,7,0,0,16,161,Bronze medal
2006,Aleksandar,Trokicić,7,1,0,7,1,0,16,161,Bronze medal
2020,Uroš,Colović,7,7,0,7,0,0,21,206,Bronze medal
2020,Miloš,Milićev,7,7,0,0,7,0,21,206,Bronze medal
2016,Igor,Medvedev,7,2,0,7,2,0,18,206,Bronze medal
2019,Jovan,Toromanović,7,0,0,0,7,7,21,214,Bronze medal
2023,Stefan,Šebez,7,7,1,7,0,0,22,220,Bronze medal
2011,Rade,Špegar,7,1,0,7,2,1,18,202,Bronze medal
2016,Ognjen,Tošić,7,0,1,7,2,0,17,224,Bronze medal
2007,Dušan,Milijančević,6,1,0,7,1,0,15,197,Bronze medal
2006,Mladen,Radojević,7,1,0,7,0,0,15,189,Bronze medal
2006,Marija,Jelić,7,1,0,7,0,0,15,189,Bronze medal
2010,Rade,Špegar,7,2,0,7,0,0,16,199,Bronze medal
2023,Andrija,Živadinović,7,3,1,7,2,0,20,259,Bronze medal
2022,Andrija,Živadinović,7,7,0,7,3,0,24,247,Bronze medal
2016,Nikola,Sadovek,7,2,0,7,0,0,16,253,Bronze medal
2018,Nikola,Pavlović,7,7,0,3,0,0,17,250,Bronze medal
2010,Stevan,Gajović,7,1,0,7,0,0,15,226,Bronze medal
2019,Vladimir Viktor,Mirjanić,7,0,0,3,7,0,17,275,Bronze medal
2013,Simon,Stojković,7,0,2,7,0,0,16,234,Bronze medal
2013,Ivan,Damnjanović,7,0,0,7,2,0,16,234,Bronze medal
2014,Ivan,Tanasijević,4,6,0,7,0,0,17,256,Bronze medal
2024,Strahinja,Svrzić,7,2,0,7,0,0,16,283,Bronze medal
2014,Maksim,Stokić,7,0,0,7,2,0,16,267,Bronze medal
2008,Aleksandar,Vasiljković,7,1,0,6,0,0,14,268,Honourable mention
2022,Aleksandar,Višnjić,6,7,0,7,1,0,21,303,Honourable mention
2020,Jovan,Arizanović,7,0,0,7,0,0,14,317,Honourable mention
2013,Lazar,Radičević,0,0,0,7,7,0,14,279,Honourable mention
2022,Vukašin,Pantelić,2,3,0,7,7,1,20,314,Honourable mention
2021,Aleksa,Đorđević,7,0,0,0,2,0,9,332,Honourable mention
2024,Stevan,Radivojević,7,1,0,7,0,0,15,327,Honourable mention
2012,Rade,Špegar,7,0,0,3,2,0,12,302,Honourable mention
2008,Vladimir,Nikolić,2,0,0,7,3,0,12,297,Honourable mention
2012,Lazar,Radičević,7,0,0,4,0,0,11,315,Honourable mention
2013,Bogdana,Jelić,0,1,0,7,3,0,11,306,Honourable mention
2015,Aleksa,Milojević,7,1,0,1,1,0,10,337,Honourable mention
2015,Marijana,Vujadinović,0,0,0,7,3,0,10,337,Honourable mention
2016,Nikola,Pavlović,7,0,0,5,0,0,12,368,Honourable mention
2023,Vukašin,Pantelić,2,3,0,2,7,0,14,385,Honourable mention
2011,Filip,Živanović,7,0,1,0,2,0,10,356,Honourable mention
2023,Gvozden,Lapčević,0,1,2,7,2,1,13,407,Honourable mention
2006,Igor,Ninković,7,1,0,1,0,0,9,364,Honourable mention
2009,Stefan,Stojanović,6,5,0,2,0,0,13,283,
2021,Milan,Gelić,5,0,0,3,0,0,8,348,
2011,Stefan,Mihajlović,3,1,0,4,2,0,10,356,
2007,Boban,Karapetrović,3,2,0,0,1,0,6,430,
