Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Luka,Horjak,7,7,4,7,7,1,33,22,Gold medal
2018,Luka,Horjak,7,7,0,7,7,2,30,49,Silver medal
2019,Marko,Čmrlec,7,1,7,6,7,0,28,65,Silver medal
2020,Lovro,Drofenik,7,7,0,7,7,0,28,86,Silver medal
2024,Nace,Hranjec,7,2,0,7,7,1,24,100,Silver medal
2000,Irena,Majcen,7,7,1,2,6,0,23,79,Silver medal
2005,Gašper,Zadnik,4,7,0,7,7,0,25,100,Silver medal
2019,Luka,Horjak,7,1,7,3,7,0,25,132,Silver medal
2006,Matjaž,Berčič,7,7,0,6,0,0,20,109,Silver medal
1996,Matjaž,Konvalinka,7,0,7,1,0,3,18,111,Bronze medal
2012,Vesna,Iršič,7,7,0,2,3,0,19,151,Bronze medal
2007,Jure,Vogrinc,3,7,0,7,1,0,18,145,Bronze medal
1997,Matjaž,Konvalinka,4,0,7,4,7,0,22,131,Bronze medal
2021,Lovro,Drofenik,7,1,0,7,0,0,15,180,Bronze medal
2018,Marko,Čmrlec,7,4,0,7,4,0,22,174,Bronze medal
2023,Matija,Skrt,7,7,0,7,2,0,23,183,Bronze medal
2000,Mojca,Miklavec,7,4,0,3,0,3,17,138,Bronze medal
2017,Luka,Horjak,7,3,0,7,0,0,17,188,Bronze medal
2017,David,Opalič,7,3,0,7,0,0,17,188,Bronze medal
2006,Špela,Špenko,7,1,0,7,1,0,16,161,Bronze medal
2012,Veno,Mramor,7,7,0,3,0,0,17,182,Bronze medal
1993,Mitja,Mastnak,1,0,0,7,7,0,15,143,Bronze medal
2004,Gašper,Zadnik,7,1,2,7,3,0,20,169,Bronze medal
2002,Klemen,Šivic,4,7,1,3,3,0,18,168,Bronze medal
2021,Nejc,Amon,6,0,0,1,7,0,14,218,Bronze medal
2020,Job,Petrovčič,7,2,4,7,0,0,20,227,Bronze medal
2008,Jure,Vogrinc,7,1,0,7,2,0,17,199,Bronze medal
2007,Martin,Hergouth,7,0,0,7,1,0,15,197,Bronze medal
2006,David,Gajser,7,1,0,7,0,0,15,189,Bronze medal
2006,Peter,Lendero,7,1,0,7,0,0,15,189,Bronze medal
1996,Igor,Klep,2,1,1,7,2,0,13,164,Bronze medal
2014,Juš,Kosmač,7,5,0,7,0,0,19,221,Bronze medal
1999,Irena,Majcen,7,1,1,3,1,0,13,178,Bronze medal
2008,Primož,Pušnik,7,5,0,4,0,0,16,212,Bronze medal
2024,Luka,Urbanc,7,2,0,7,0,1,17,252,Bronze medal
2010,Matej,Aleksandrov,7,1,0,7,0,0,15,226,Bronze medal
2010,Filip,Kozarski,7,1,0,7,0,0,15,226,Bronze medal
2007,Miha,Čančula,5,2,0,7,0,0,14,226,Bronze medal
2007,Tom,Primožič,7,0,0,7,0,0,14,226,Bronze medal
2007,Urban,Jezernik,0,7,0,6,1,0,14,226,Bronze medal
2004,Nik,Stopar,7,1,2,3,3,1,17,212,Bronze medal
1998,Tadej,Starčič,2,7,1,5,0,0,15,183,Bronze medal
2019,Lovro,Drofenik,7,2,0,6,2,0,17,275,Bronze medal
2015,David,Popović,7,0,0,7,0,0,14,257,Bronze medal
1999,Matjaž,Urlep,7,1,1,1,0,2,12,202,Bronze medal
2011,Veno,Mramor,7,1,0,7,1,0,16,253,Bronze medal
1993,Marko,Krajnc,0,0,0,2,2,7,11,188,Bronze medal
2022,Matija,Skrt,7,3,0,7,6,0,23,269,Bronze medal
2014,Juan Gabriel,Kostelec,7,1,0,7,2,0,17,256,Bronze medal
2009,Matej,Aleksandrov,7,3,0,2,2,0,14,264,Bronze medal
1997,Matjaž,Titan,5,0,0,3,7,0,15,221,Bronze medal
2016,Jakob Jurij,Snoj,5,3,0,7,0,0,15,281,Honourable mention
2017,Domen,Vreš,7,5,0,3,0,0,15,292,Honourable mention
2017,Andraž,Maier,7,1,0,7,0,0,15,292,Honourable mention
2018,David,Opalič,5,2,0,7,1,0,15,290,Honourable mention
2018,Andraž,Maier,7,0,0,7,1,0,15,290,Honourable mention
2000,Klemen,Šivic,7,0,0,1,0,2,10,230,Honourable mention
2000,Aleksandra,Franc,7,0,0,0,0,3,10,230,Honourable mention
2008,Aljaž,Zalar,7,1,0,4,2,0,14,268,Honourable mention
2011,Matjaž,Leonardis,7,0,0,7,1,0,15,282,Honourable mention
2005,Špela,Špenko,3,0,0,7,0,0,10,261,Honourable mention
2010,Matjaž,Leonardis,6,1,0,7,0,0,14,266,Honourable mention
2010,Tomaž,Stepišnik Perdih,7,0,0,7,0,0,14,266,Honourable mention
2023,Katarina,Grilj,7,3,0,7,0,0,17,315,Honourable mention
2006,Urban,Jezernik,7,0,0,7,0,0,14,254,Honourable mention
2020,Tevž,Lotrič,0,0,0,7,7,0,14,317,Honourable mention
2021,Jaka,Vrhovnik,7,0,1,2,0,0,10,319,Honourable mention
2018,Lovro,Drofenik,7,1,4,2,0,0,14,307,Honourable mention
2016,David,Popović,7,0,0,7,0,0,14,312,Honourable mention
2009,Matjaž,Leonardis,7,0,0,5,0,0,12,296,Honourable mention
2024,Žiga,Oštir,6,1,0,7,1,0,15,327,Honourable mention
2003,Janez,Šter,0,3,0,7,0,0,10,247,Honourable mention
2004,Matjaž,Berčič,7,1,0,0,5,1,14,264,Honourable mention
1993,Andrej,Srakar,0,0,0,1,7,0,8,225,Honourable mention
1994,Primož,Moravec,0,7,0,2,7,0,16,214,Honourable mention
2019,Tea,Jeličić,7,1,0,6,0,0,14,345,Honourable mention
2009,Anja,Komatar,7,3,0,1,0,0,11,314,Honourable mention
2009,Gregor,Grasselli,7,3,0,1,0,0,11,314,Honourable mention
2017,Nejc,Zajc,7,0,0,7,0,0,14,342,Honourable mention
2022,Katarina,Grilj,4,7,0,7,1,0,19,328,Honourable mention
1995,Jernej,Barbič,7,7,1,0,0,0,15,230,Honourable mention
2020,Jan,Genc,7,2,0,4,0,0,13,345,Honourable mention
1997,Martin,Milanič,1,7,0,1,3,0,12,258,Honourable mention
2023,Erik,Červek Roškarič,7,0,0,7,2,0,16,349,Honourable mention
2011,Neža,Žager Korenjak,3,0,0,7,2,0,12,320,Honourable mention
2014,Luka,Lodrant,7,0,0,7,0,0,14,321,Honourable mention
1998,Ajda,Skarlovnik,2,0,0,1,7,0,10,242,Honourable mention
2019,Jaka,Vrhovnik,6,0,0,0,7,0,13,361,Honourable mention
2016,Andraž,Maier,7,0,0,6,0,0,13,355,Honourable mention
2023,Hugo,Trebše,7,1,0,7,0,0,15,366,Honourable mention
2010,Nik,Jazbinšek,6,0,0,7,0,0,13,313,Honourable mention
2024,Nives,Gošnjak,7,0,0,7,0,0,14,366,Honourable mention
2021,Juš,Kocutar,0,0,0,7,0,0,7,372,Honourable mention
1998,Matjaž,Titan,0,0,2,0,7,0,9,253,Honourable mention
2019,Tevž,Lotrič,7,0,0,0,5,0,12,376,Honourable mention
2007,Anja,Komatar,0,1,2,7,0,0,10,322,Honourable mention
2005,David,Gajser,0,0,0,7,0,0,7,322,Honourable mention
2011,Nik,Jazbinšek,7,0,0,1,2,0,10,356,Honourable mention
2015,Jakob Jurij,Snoj,7,0,0,2,0,0,9,365,Honourable mention
2013,Juan Gabriel,Kostelec,0,2,0,7,0,0,9,335,Honourable mention
2020,Jaka,Vrhovnik,1,0,1,7,0,0,9,395,Honourable mention
2002,Erik,Štrumbelj,0,0,0,7,1,0,8,308,Honourable mention
1997,Tadej,Starčič,0,7,0,0,2,0,9,299,Honourable mention
2022,Juš,Kocutar,7,2,0,5,1,0,15,394,Honourable mention
2014,Amadej Kristjan,Kocbek,4,0,0,7,0,0,11,375,Honourable mention
2006,Primož,Koželj,7,1,0,2,0,0,10,335,Honourable mention
2023,Lenart,Dolinar,7,0,0,3,2,0,12,416,Honourable mention
2013,Žiga,Krajnik,1,0,0,7,0,0,8,355,Honourable mention
2017,David,Popović,7,4,0,1,0,0,12,416,Honourable mention
2016,Domen,Vreš,7,0,0,2,0,0,9,409,Honourable mention
2012,Matjaž,Leonardis,7,0,0,2,0,0,9,373,Honourable mention
2012,Amadej Kristjan,Kocbek,7,0,0,2,0,0,9,373,Honourable mention
2012,Žiga,Krajnik,7,0,0,2,0,0,9,373,Honourable mention
2004,Kris,Stopar,7,1,0,0,1,0,9,335,Honourable mention
2014,Žiga,Krajnik,7,0,0,3,0,0,10,387,Honourable mention
2018,Andraž,Jelinčič,0,0,0,7,1,0,8,413,Honourable mention
1994,Iztok,Kavkler,2,0,0,7,3,0,12,268,Honourable mention
2024,Patricia,Király,7,0,0,3,0,0,10,434,Honourable mention
2012,Juan Gabriel,Kostelec,7,0,0,1,0,0,8,398,Honourable mention
2016,Timen,Stepišnik Perdih,7,0,0,0,0,0,7,443,Honourable mention
1994,Jernej,Barbič,0,2,2,7,0,0,11,284,Honourable mention
1995,Polona,Grešak,7,2,0,0,0,0,9,306,Honourable mention
2013,Amadej Kristjan,Kocbek,0,0,0,7,0,0,7,394,Honourable mention
2013,Mihaela,Pušnik,0,0,0,7,0,0,7,394,Honourable mention
2022,Kaja,Rajter,7,0,0,3,1,0,11,445,Honourable mention
2023,Kaja,Rajter,7,0,0,1,0,0,8,490,Honourable mention
1995,Gorazd,Brumen,7,0,0,0,0,0,7,329,Honourable mention
2000,Matjaž,Urlep,3,1,0,5,0,0,9,260,
1996,Polona,Grešak,4,1,1,1,0,0,7,248,
2001,Klemen,Šivic,1,0,1,3,3,0,8,277,
1999,Mojca,Miklavec,4,1,1,2,0,1,9,270,
2002,Janez,Šter,2,6,0,0,1,0,9,294,
2001,Andrej,Košmrlj,3,0,1,0,3,0,7,296,
1996,Sašo,Živanovič,4,1,1,0,0,0,6,266,
1993,Petra,Ipavec,0,1,0,0,3,2,6,265,
2024,Matic,Pogorelec,6,0,0,6,0,0,12,413,
2008,Gregor,Grasselli,4,0,0,4,0,0,8,368,
2005,Matjaž,Berčič,1,1,0,1,0,0,3,368,
2005,Urban,Jezernik,0,0,1,1,1,0,3,368,
2015,Luka,Lodrant,4,0,0,2,1,0,7,420,
1998,Martin,Milanič,2,0,2,1,0,0,5,306,
2008,Matej,Aleksandrov,5,1,0,1,0,0,7,392,
2001,Matija,Pretnar,2,0,1,1,0,0,4,347,
2001,Mojca,Miklavec,0,0,1,1,2,0,4,347,
2016,David,Opalič,1,0,0,4,2,0,7,443,
1997,Andrej,Vodopivec,4,0,0,3,0,0,7,340,
2015,Domen,Vreš,4,0,0,2,0,0,6,431,
2002,Tone,Gradišek,1,0,0,4,0,0,5,360,
2008,Anja,Komatar,2,0,0,4,0,0,6,406,
2009,Primož,Pušnik,1,4,0,0,0,0,5,429,
2009,Nik,Jazbinšek,2,3,0,0,0,0,5,429,
2011,Mihaela,Pušnik,5,0,0,1,0,0,6,428,
1996,Andrej,Zorko,3,0,1,0,0,0,4,325,
2015,Amadej Kristjan,Kocbek,4,1,0,0,0,0,5,449,
2015,Lenart,Treven,4,0,0,1,0,0,5,449,
2004,Peter,Lendero,3,1,0,0,2,0,6,382,
2002,Aleksandra,Franc,4,0,0,0,0,0,4,378,
1997,Matija,Mazi,4,0,0,1,0,0,5,364,
2003,Nik,Stopar,0,3,0,1,0,0,4,363,
2014,Lara,Jerman,6,0,0,1,0,0,7,446,
2011,Aleš,Omerzel,2,1,1,1,0,0,5,449,
2000,Sašo,Jelenčič,0,1,0,2,1,0,4,368,
2010,Veno,Mramor,6,0,0,0,1,0,7,418,
2021,Lana,Prijon,1,0,0,0,0,0,1,499,
1998,Jure,Kališnik,0,0,2,1,0,0,3,340,
1995,Tadej,Novak,2,0,0,4,0,0,6,337,
1993,Iztok,Kavkler,1,0,0,0,0,2,3,339,
1999,Dušan,Jan,2,0,1,1,0,1,5,371,
2001,Aleksandra,Franc,1,0,0,0,1,0,2,398,
2001,Sergej,Omladič,0,0,0,0,2,0,2,398,
1995,Mitja,Pirc,0,0,2,1,2,0,5,348,
2002,Tine,Porenta,0,0,0,1,1,0,2,410,
2013,Rok,Havlas,0,0,0,3,0,0,3,452,
2021,Gal,Zmazek,0,0,0,0,0,0,0,533,
2022,Matija,Likar,6,1,0,0,0,0,7,510,
2005,Sara,Kališnik,1,0,0,0,0,0,1,445,
2004,David,Gajser,0,1,2,0,0,0,3,424,
1999,Ajda,Skarlovnik,1,0,0,1,1,1,4,394,
2003,Ivo,List,2,0,0,0,0,0,2,402,
2003,Rok,Končina,0,1,0,0,1,0,2,402,
1994,Helena,Šmigoc,5,1,0,0,0,0,6,339,
1998,Dušan,Jan,2,0,0,0,0,0,2,369,
2022,Vid,Kavčič,3,1,0,0,0,0,4,532,
1996,Tadej,Starčič,1,0,0,0,0,0,1,392,
2013,Klara,Nosan,0,0,0,0,0,0,0,494,
1999,Jure,Kališnik,0,0,1,2,0,0,3,422,
1994,Blaž,Mavčič,2,0,0,0,0,0,2,370,
2003,Janoš,Vidali,0,0,0,0,0,0,0,446,
2003,Mitja,Trampuš,0,0,0,0,0,0,0,446,
