Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1974,Michael,Steiner,5,6,8,6,7,8,40,1,Gold medal
1968,Ulf,Persson,6,7,7,5,7,8,40,1,Gold medal
1997,Hans,Rullgård,7,7,7,7,6,5,39,11,Gold medal
2019,Hugo,Eberhard,7,7,7,7,7,0,35,18,Gold medal
2018,Arvid,Lunnemark,7,7,3,7,7,1,32,27,Gold medal
1988,Mats,Persson,7,7,4,7,7,0,32,16,Gold medal
1977,Johan,Håstad,6,6,6,6,6,4,34,10,Gold medal
1975,Per,Salberger,6,7,7,6,5,6,37,9,Silver medal
1991,Andreas,Strömbergsson,7,7,3,7,7,7,38,21,Silver medal
1973,Michael,Steiner,5,0,8,4,6,8,31,9,Silver medal
1974,Arne,Meurman,5,6,8,6,4,8,37,11,Silver medal
2016,John Olof,Hallman,7,6,0,7,1,7,28,45,Silver medal
2016,David,Wärn,7,7,0,7,7,0,28,45,Silver medal
1992,Andreas,Strömbergsson,7,3,7,7,0,6,30,32,Silver medal
1992,Fredrik,Andréasson,4,4,5,6,7,4,30,32,Silver medal
2016,Joakim,Blikstad,7,2,0,7,7,3,26,68,Silver medal
2000,Carl Johan,Ragnarsson,7,7,0,6,4,2,26,57,Silver medal
1996,Hans,Rullgård,4,1,4,7,1,7,24,57,Silver medal
2020,Fredrik,Ekholm,7,7,0,7,7,0,28,86,Silver medal
2018,Sebastian,Fodor,7,7,0,7,7,0,28,87,Silver medal
1975,Arne,Meurman,6,7,7,6,0,8,34,21,Silver medal
2021,Vilhelm,Nilsson Thorsson,7,0,0,7,7,0,21,105,Silver medal
2000,Per Anders,Andersson,7,7,0,7,2,0,23,79,Silver medal
2017,Nicole,Hedblom,7,3,0,7,2,0,19,115,Silver medal
1987,Mats,Persson,7,7,7,7,7,0,35,45,Silver medal
1991,Peter,Grenholm,7,7,3,3,7,5,32,61,Silver medal
2013,Mårten,Wiman,7,7,0,7,6,0,27,101,Silver medal
1976,Bengt,Jonsson,5,0,8,5,0,6,24,28,Silver medal
1993,Oskar,Malm,0,6,4,2,7,2,21,83,Silver medal
2011,Simon,Lindholm,7,0,1,7,7,0,22,113,Silver medal
2018,Hugo,Eberhard,7,4,0,7,7,1,26,122,Silver medal
2023,John,Hedin,7,7,0,7,3,2,26,128,Silver medal
1979,Johan,Håstad,6,3,5,6,2,7,29,35,Silver medal
1979,Jan,Söderkvist,0,7,4,6,7,5,29,35,Silver medal
1977,Gösta,Hesslow,6,3,7,3,1,4,24,36,Silver medal
1990,Peter,Grenholm,0,7,2,7,7,0,23,71,Silver medal
1981,Johan,Råde,,,,,,,38,43,Silver medal
2008,Gunnar,Guannan Peng,7,1,0,7,7,0,22,127,Silver medal
2024,Emil,Sandberg,7,1,0,7,6,1,22,147,Silver medal
1987,Jonas,Bygren,3,7,7,7,7,1,32,59,Silver medal
1968,Björn,Frenckner,6,7,7,5,7,5,37,28,Silver medal
1968,Bengt,Ek,6,7,2,5,7,8,35,33,Silver medal
2017,Ludvig,Olsson,7,3,0,7,1,0,18,139,Bronze medal
1970,Sten,Salomonson,,,,,,,26,26,Bronze medal
2003,Valentina,Chapovalova,7,3,0,7,1,0,18,107,Bronze medal
2007,Zihan Hans,Liu,7,5,0,7,1,0,20,123,Bronze medal
1988,Mattias,Jonsson,7,3,1,3,7,1,22,66,Bronze medal
1995,Marcus,Better,7,0,2,6,7,6,28,102,Bronze medal
2020,Ferdinand,Rönngren,7,0,7,5,4,0,23,162,Bronze medal
2006,Gunnar,Guannan Peng,7,7,0,3,1,0,18,132,Bronze medal
1972,Peter,Dybjer,5,5,0,7,7,3,27,29,Bronze medal
1976,Johan,Håstad,4,0,8,4,0,6,22,38,Bronze medal
1967,Bengt,Ek,3,7,2,6,7,3,28,28,Bronze medal
1997,Björn,Samuelsson,5,0,7,4,6,0,22,131,Bronze medal
1985,Mikael,Staffas,7,2,1,1,7,1,19,60,Bronze medal
2020,Lycka,Drakengren,7,7,0,7,1,0,22,181,Bronze medal
2017,Arvid,Lunnemark,7,1,0,7,2,0,17,188,Bronze medal
1999,Erik,Borgström,7,0,7,0,0,1,15,138,Bronze medal
1999,David,Rydh,2,0,1,7,2,3,15,138,Bronze medal
1997,David,Rydh,7,1,0,6,7,0,21,142,Bronze medal
1986,Richard,Ehrenborg,2,5,0,2,7,7,23,66,Bronze medal
1977,Martin,Nilsson,6,3,0,1,7,4,21,50,Bronze medal
1998,David,Rydh,0,7,7,6,0,0,20,134,Bronze medal
2006,Joel Erik,Larsson,7,7,0,2,0,0,16,161,Bronze medal
1987,Daniel,Bertilsson,7,7,7,7,0,0,28,78,Bronze medal
2007,Gunnar,Guannan Peng,6,1,0,7,1,1,16,171,Bronze medal
1995,Hans,Rullgård,7,0,4,7,7,0,25,137,Bronze medal
1997,Johan,Karlsson,1,7,0,4,7,1,20,155,Bronze medal
1991,Fredrik,Andréasson,0,4,3,7,7,3,24,108,Bronze medal
1990,Peter,Österlund,0,7,3,1,7,1,19,106,Bronze medal
1971,Per-Göran,Andermo,,,,,,,12,40,Bronze medal
1971,Christian,Gottlieb,,,,,,,12,40,Bronze medal
2001,Per Anders,Andersson,7,0,1,7,0,0,15,164,Bronze medal
2004,Valentina,Chapovalova,4,5,0,7,3,1,20,169,Bronze medal
2021,Manja,Rönngren,7,0,0,0,7,0,14,218,Bronze medal
1989,Svante,Linusson,7,5,1,0,7,4,24,104,Bronze medal
1987,Richard,Ehrenborg,7,2,1,7,7,1,25,86,Bronze medal
2018,Björn,Magnusson,7,2,2,7,1,0,19,215,Bronze medal
1989,Johan,Wästlund,7,4,0,0,7,5,23,108,Bronze medal
2024,Erik,Hedin,6,2,1,2,7,1,19,227,Bronze medal
2012,Mårten,Wiman,7,1,0,7,1,0,16,204,Bronze medal
2015,Malte,Larsson,7,0,0,7,1,0,15,217,Bronze medal
2015,Tianfang,Zhang,7,0,0,7,1,0,15,217,Bronze medal
2007,Harald,Freij,7,1,0,7,0,0,15,197,Bronze medal
2006,Zihan Hans,Liu,7,1,0,7,0,0,15,189,Bronze medal
1988,Daniel,Bertilsson,7,3,0,7,0,0,17,102,Bronze medal
1988,Patrik,Andersson,3,0,7,7,0,0,17,102,Bronze medal
2018,Teodor,Bucht,7,3,0,7,1,0,18,228,Bronze medal
2004,Johan,Bredberg,7,4,1,7,0,0,19,187,Bronze medal
1970,Christian,Gottlieb,,,,,,,21,44,Bronze medal
2009,Peter,Zarén,7,1,0,2,7,0,17,220,Bronze medal
1977,Johan,Berglind,3,3,0,6,1,7,20,61,Bronze medal
1982,Anders,Rantzer,7,0,4,0,7,7,25,47,Bronze medal
1979,Johan,Råde,0,0,7,6,2,7,22,66,Bronze medal
1999,Olov,Wilander,5,1,2,5,0,0,13,178,Bronze medal
2002,Daniel,Andersson,7,3,0,5,1,0,16,191,Bronze medal
1994,Samuel,Rydh,2,6,0,0,7,7,22,154,Bronze medal
1982,Jan-Erik,Brundell,7,0,5,4,7,0,23,49,Bronze medal
2024,John,Hedin,7,1,0,7,1,1,17,252,Bronze medal
2023,Erik,Hedin,7,1,3,7,2,0,20,259,Bronze medal
2002,Valentina,Chapovalova,7,6,0,1,1,0,15,201,Bronze medal
1978,Johan,Håstad,6,0,5,5,6,0,22,56,Bronze medal
1996,Martin,de Maré,4,0,1,0,0,7,12,180,Bronze medal
1990,Andreas,Strömbergsson,1,7,1,1,7,0,17,131,Bronze medal
1981,Anders,Rantzer,,,,,,,32,79,Bronze medal
1981,Hans-Olof,Kuylenstierna,,,,,,,32,79,Bronze medal
2014,Johan,Sannemo,7,3,0,1,7,0,18,238,Bronze medal
1967,Per,Lindberg,6,0,8,0,1,8,23,43,Bronze medal
2007,Daniel Xiaochen,Wang,6,1,0,7,0,0,14,226,Bronze medal
2004,David,Ericsson,4,5,0,7,0,1,17,212,Bronze medal
2019,David,Engström,3,0,0,7,7,0,17,275,Bronze medal
1972,Magnus,Lundin,5,0,0,1,5,8,19,48,Bronze medal
1973,Tor,Nilsson,6,6,0,6,1,0,19,56,Bronze medal
1993,Marcus,Better,0,2,0,0,7,2,11,188,Bronze medal
2022,John,Hedin,6,7,1,7,1,1,23,269,Bronze medal
1976,Mats,Nordahl,0,0,5,6,0,7,18,64,Bronze medal
1988,Lars,Willför,0,7,0,0,7,0,14,124,Bronze medal
1998,Johan,Karlsson,0,7,3,0,4,0,14,194,Bronze medal
2024,Jiachen,Mi,7,2,0,7,0,0,16,283,Bronze medal
2009,Gabriel,Isheden,7,7,0,0,0,0,14,264,Bronze medal
2013,Lisa,Lokteva,7,1,0,7,0,0,15,250,Bronze medal
2014,Emma,Johansen,7,7,0,2,0,0,16,267,Bronze medal
2020,Loke,Gustafsson,7,0,0,7,1,0,15,294,Bronze medal
2020,David,Engström,0,1,0,7,7,0,15,294,Bronze medal
1968,Gunnar,Rynefors,6,3,7,5,7,2,30,47,Bronze medal
1968,Anders,Wannebo,5,5,0,5,7,8,30,47,Bronze medal
1981,Mikael,Rittri,,,,,,,28,94,Bronze medal
1968,Peder,Johansson,6,3,0,5,7,8,29,51,Bronze medal
1976,Mats,Bodén,0,0,4,6,0,6,16,75,Bronze medal
1968,Erik,Alm,3,6,1,5,5,8,28,57,Bronze medal
1968,Klas,Mårtensson,5,5,1,5,3,8,27,61,Bronze medal
2016,Hugo,Eberhard,7,0,0,7,1,0,15,281,Honourable mention
2022,Erik,Hedin,6,6,0,7,2,1,22,286,Honourable mention
1988,Daniel,Lindhardt,1,4,1,0,7,0,13,131,Honourable mention
2018,Ludvig,Olsson,7,0,0,7,1,0,15,290,Honourable mention
2011,Rebecca,Staffas,7,0,0,1,7,0,15,282,Honourable mention
2005,Gunnar,Guannan Peng,2,7,0,1,0,0,10,261,Honourable mention
2005,Simon Jakob,Meuller,0,1,0,7,0,2,10,261,Honourable mention
2010,Simon,Lindholm,7,0,0,0,7,0,14,266,Honourable mention
2020,Kevin,Haagensen Strömberg,7,2,0,5,0,0,14,317,Honourable mention
2009,Hampus,Engsner,7,3,0,2,0,0,12,296,Honourable mention
2009,Rickard,Norlander,7,2,1,0,2,0,12,296,Honourable mention
2019,Fredrik,Ekholm,7,0,0,6,2,0,15,326,Honourable mention
2014,Lars,Åström,7,7,0,1,0,0,15,296,Honourable mention
2008,Thomas,Bååth-Sjöblom,7,2,0,4,0,0,13,284,Honourable mention
1994,Marcus,Better,1,0,3,0,6,7,17,205,Honourable mention
2022,Olle,Lapidus,7,7,0,4,1,1,20,314,Honourable mention
2024,Mingdao,Zou Zhong,7,1,0,7,0,0,15,327,Honourable mention
2003,Grigori,Grozman,7,0,0,3,0,0,10,247,Honourable mention
2008,Peter,Zarén,7,1,0,4,0,0,12,297,Honourable mention
2002,Carl,Nettelblad,7,0,0,3,1,0,11,266,Honourable mention
2017,David,Wärn,7,3,0,2,1,1,14,342,Honourable mention
1996,Milena,Anguelova,0,7,1,0,0,0,8,236,Honourable mention
1995,Milena,Anguelova,3,0,0,5,7,0,15,230,Honourable mention
2021,Erik,Hedin,0,0,0,1,7,0,8,348,Honourable mention
2023,Ivar,Ängquist,7,1,0,5,3,0,16,349,Honourable mention
1989,Mats,Anderson,7,1,0,0,7,0,15,165,Honourable mention
2011,Torkel,Loman,7,0,0,1,4,0,12,320,Honourable mention
2014,Lisa,Lokteva,7,0,0,7,0,0,14,321,Honourable mention
2022,Kevin,Haagensen Strömberg,6,7,0,3,2,0,18,343,Honourable mention
2006,Simon Jakob,Meuller,7,0,0,6,0,0,13,291,Honourable mention
1995,Samuel,Rydh,7,0,0,7,0,0,14,245,Honourable mention
1995,Thomas,Strömstedt,7,0,2,5,0,0,14,245,Honourable mention
1994,Hans,Rullgård,7,0,4,2,0,2,15,230,Honourable mention
2008,Gabriel,Isheden,7,0,0,4,0,0,11,320,Honourable mention
2019,Loke,Gustafsson,7,1,0,1,2,0,11,386,Honourable mention
2000,Andreas,Holmström,0,1,0,7,0,0,8,287,Honourable mention
2015,Martin,Hesselborn,7,0,0,1,1,0,9,365,Honourable mention
2015,David,Wärn,7,0,0,1,1,0,9,365,Honourable mention
2003,Daniel,Andersson,0,1,0,7,0,0,8,292,Honourable mention
2003,Erik,Bernhardsson,7,0,0,0,1,0,8,292,Honourable mention
2006,Chen,Xing,7,1,0,3,0,0,11,319,Honourable mention
2024,Jacob,Brzezinski Ädelroth,7,6,0,0,0,0,13,400,Honourable mention
2016,Nicole,Hedblom,1,2,0,7,0,0,10,400,Honourable mention
2009,Jenny,Johansson,7,0,0,1,0,0,8,376,Honourable mention
2022,Ludvig,Granath,7,1,0,4,3,0,15,394,Honourable mention
2000,Johannes,Nordstrom,0,0,0,7,0,0,7,309,Honourable mention
2011,Yue,Jiao,7,0,0,1,1,0,9,378,Honourable mention
