Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Mark,Jabbour,7,7,0,7,0,0,21,82,Silver medal
2020,Ali,Backour,7,7,4,3,7,0,28,86,Silver medal
2019,Ahmad,Alkhamis,6,6,0,7,7,0,26,122,Silver medal
2015,Sami,Rahmeh,7,1,1,7,3,0,19,118,Silver medal
2020,Abdulkarim,Alsayed Ramadan,7,7,0,3,7,0,24,140,Silver medal
2019,Muhammad,Alhafi,7,6,0,7,2,0,22,168,Bronze medal
2016,Muhammad,Hanino,7,2,0,7,4,0,20,169,Bronze medal
2023,Mouhammad Ali,Hourieh,7,7,0,7,2,0,23,183,Bronze medal
2020,Alhussein,Khalil,7,0,0,7,7,0,21,206,Bronze medal
2016,Mark,Jabbour,7,2,0,7,2,0,18,206,Bronze medal
2016,Ghaith,Alzouhaili,6,2,0,7,2,0,17,224,Bronze medal
2018,Mark,Jabbour,7,4,0,0,7,0,18,228,Bronze medal
2018,Muhammad,Alhafi,7,4,0,0,7,0,18,228,Bronze medal
2021,M.Fouad,Almouine,5,0,1,7,0,0,13,268,Bronze medal
2021,Alaa Eddin,Ahmad,5,0,0,7,1,0,13,268,Bronze medal
2015,Muhammad,Hanino,4,2,0,7,1,0,14,257,Bronze medal
2023,Saria,Ramadan,7,3,0,7,2,0,19,279,Bronze medal
2022,Mouhammad Ali,Hourieh,7,7,0,7,2,0,23,269,Bronze medal
2024,Mahmoud,Mohamad Asad,7,2,0,7,0,0,16,283,Bronze medal
2017,Ahmad,Abou Dan,7,1,0,7,0,0,15,292,Honourable mention
2017,Ahmad,Alkhamis,7,1,0,7,0,0,15,292,Honourable mention
2018,Elie,Eshoa,7,4,0,3,1,0,15,290,Honourable mention
2015,Ghaith,Alzouhaili,5,0,0,7,1,0,13,283,Honourable mention
2023,Muhammad,Alhomsi,7,1,0,7,2,0,17,315,Honourable mention
2020,Alaa Eddin,Ahmad,7,0,0,7,0,0,14,317,Honourable mention
2014,Sami,Rahmeh,7,0,0,7,1,0,15,296,Honourable mention
2017,Elie,Eshoa,7,0,0,7,0,0,14,342,Honourable mention
2022,Saria,Ramadan,7,2,0,7,3,0,19,328,Honourable mention
2019,Abdulkarim,Alsayed Ramadan,6,7,0,0,0,0,13,361,Honourable mention
2015,Mustafa,Khalil,1,0,0,7,2,0,10,337,Honourable mention
2016,Hafez,Alassad,7,0,0,4,2,0,13,355,Honourable mention
2023,Allayth,Shahet,7,1,0,7,0,0,15,366,Honourable mention
2024,Shafik,Bara,7,0,0,7,0,0,14,366,Honourable mention
2024,Mohamad,Mouzahem,7,0,0,7,0,0,14,366,Honourable mention
2021,Alhussein ,Khalil,7,0,0,0,0,0,7,372,Honourable mention
2021,Khaled,Rajoub,0,0,0,7,0,0,7,372,Honourable mention
2019,M.Fouad,Almouine,4,7,0,1,0,0,12,376,Honourable mention
2018,Abdulkarim,Alsayed Ramadan,7,1,0,2,0,0,10,368,Honourable mention
2016,Ahmad,Mehrez,7,2,0,2,0,0,11,379,Honourable mention
2017,Ali,Deeb,5,1,0,7,0,0,13,390,Honourable mention
2014,Ahmed,Rajab,5,0,0,7,0,0,12,366,Honourable mention
2022,Marie Noelle,Seif Asskar,6,0,0,7,2,0,15,394,Honourable mention
2019,Majed,Naser,7,0,0,0,2,0,9,417,Honourable mention
2013,Ahmad Rami,Rahmeh,1,0,0,7,0,0,8,355,Honourable mention
2020,M.Fouad,Almouine,7,0,0,0,1,0,8,419,Honourable mention
2015,Yazan,Alnasr,0,0,0,7,1,0,8,394,Honourable mention
2023,Abdulwahab,Ozoun,7,3,0,1,0,0,11,425,Honourable mention
2016,Jullanar,Alshahoud,7,0,0,1,0,0,8,429,Honourable mention
2023,Haydar,Qassem,7,1,0,0,2,0,10,441,Honourable mention
2011,Qusai,Alothman,7,0,0,0,1,0,8,402,Honourable mention
2014,Ahmad Rami,Rahmeh,2,0,0,7,0,0,9,404,Honourable mention
2020,Khalil,Tarsha Kurdi,7,0,0,0,0,0,7,445,Honourable mention
2012,Mohammad,Khaddour,7,0,0,1,0,0,8,398,Honourable mention
2010,Mokhtar,Nadren,2,0,0,7,0,0,9,386,Honourable mention
2024,Allayth,Shahet,7,2,0,0,0,0,9,457,Honourable mention
2014,Mustafa,Khalil,1,0,0,7,0,0,8,421,Honourable mention
2010,Budour,Khalil,1,0,0,7,0,0,8,401,Honourable mention
2024,Mohamad,Austa,7,1,0,0,0,0,8,475,Honourable mention
2022,Mustafa,Akash,7,1,0,0,1,0,9,469,Honourable mention
2022,Bana,Mahana,1,0,0,7,1,0,9,469,Honourable mention
2017,Hafez,Al-Assad,0,0,0,7,0,0,7,528,Honourable mention
2022,Haydar,Qassem,7,0,0,0,0,0,7,510,Honourable mention
2019,Elie,Eshoa,6,1,0,2,1,0,10,402,
2021,Ali,Backour,4,0,0,0,0,0,4,439,
2012,Ali,Khedr,1,0,0,4,3,0,8,398,
2018,Ahmad,Alkhamis,0,0,0,4,1,0,5,452,
2015,Mohamad,Mohamad,0,1,0,4,0,0,5,449,
2009,Mokhtar,Nadren,0,2,0,1,0,0,3,459,
2018,Hafez,Alassad,2,0,0,0,1,0,3,486,
2014,Mohammad,Khaddour,3,0,0,2,0,0,5,470,
2014,Mohamad,Mohamad,3,0,0,1,0,0,4,476,
