Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2011,Muhammadfiruz,Hasanov,7,0,0,7,7,1,22,113,Silver medal
2010,Olimjon,Pirahmad,7,7,0,7,0,0,21,106,Silver medal
2015,Farrukh,Karimov,7,3,1,7,1,0,19,118,Silver medal
2019,Naimdzhon,Khondzhonov,7,7,0,7,0,4,25,132,Silver medal
2009,Inomzhon,Mirzaev,7,7,1,5,4,0,24,130,Silver medal
2017,Naimdzhon,Khondzhonov,7,4,0,7,0,0,18,139,Bronze medal
2022,Raufjon,Dadabaev,7,7,0,7,6,1,28,146,Bronze medal
2012,Khusravi,Elmurod,7,7,0,1,4,0,19,151,Bronze medal
2021,Vazirdzhon,Pirov,7,0,1,7,0,0,15,180,Bronze medal
2021,Jamshed,Rustamov,7,0,1,7,0,0,15,180,Bronze medal
2018,Shohrukhii,Mahmadjon,7,1,0,7,7,0,22,174,Bronze medal
2012,Sadi,Okilnazarzoda,7,7,0,1,3,0,18,163,Bronze medal
2024,Olimdzhon,Tukhtarov,7,0,0,7,7,0,21,182,Bronze medal
2017,Komron,Abdulloev,7,3,0,7,0,0,17,188,Bronze medal
2017,Muhammadjon,Boboev,7,3,0,7,0,0,17,188,Bronze medal
2007,Akbarshoh,Fayzulloev,0,7,0,7,3,0,17,161,Bronze medal
2012,Shodavlat,Saidmukhammadi,7,7,0,1,2,0,17,182,Bronze medal
2018,Mekhron,Bobokhonov,7,7,0,5,1,0,20,204,Bronze medal
2009,Muhamadjon,Shoev,7,7,0,5,0,0,19,198,Bronze medal
2021,Usmonali,Pakhlavonov,7,0,0,7,0,0,14,218,Bronze medal
2012,Shakhzodshokhi,Shamsiddin,7,0,0,2,7,0,16,204,Bronze medal
2024,Mashrafdzhon,Inomov,7,2,0,7,1,1,18,238,Bronze medal
2008,Akbarshoh,Fayzulloev,5,7,0,4,0,0,16,212,Bronze medal
2018,Abubakr,Usmanov,7,6,0,4,0,0,17,250,Bronze medal
2018,Mukhammad,Klychev,7,3,0,0,7,0,17,250,Bronze medal
2014,Farrukh,Karimov,7,4,0,7,0,0,18,238,Bronze medal
2019,Dzhakhongir,Urakov,7,2,0,7,2,0,18,267,Bronze medal
2015,Kalomidin,Klychev,0,6,0,7,1,0,14,257,Bronze medal
2018,Naimdzhon,Khondzhonov,7,7,0,0,1,1,16,271,Bronze medal
2009,Komron,Giesiev,2,7,0,5,0,0,14,264,Bronze medal
2013,Sadi,Okilnazarzoda,7,0,0,6,2,0,15,250,Bronze medal
2014,Ubaydullo,Rustami,7,0,0,7,2,0,16,267,Bronze medal
2023,Olimdzhon,Tukhtarov,7,2,0,7,2,0,18,297,Bronze medal
2016,Mekhron,Bobokhonov,7,1,0,7,0,0,15,281,Honourable mention
2017,Mekhron,Bobokhonov,7,1,0,7,0,0,15,292,Honourable mention
2017,Abubakr,Usmanov,7,1,0,7,0,0,15,292,Honourable mention
2015,Sobirdzhon,Bobiev,4,0,1,7,1,0,13,283,Honourable mention
2012,Muhammadfiruz,Hasanov,7,1,0,1,4,0,13,277,Honourable mention
2023,Mashrafdzhon,Inomov,7,3,0,7,0,0,17,315,Honourable mention
2016,Alisheri,Anvar,7,0,0,7,0,0,14,312,Honourable mention
2016,Jakhongir,Murodov,7,0,0,7,0,0,14,312,Honourable mention
2014,Sobirdzhon,Bobiev,7,1,0,7,0,0,15,296,Honourable mention
2008,Inomzhon,Mirzaev,5,1,0,7,0,0,13,284,Honourable mention
2022,Timur,Usmonov,6,1,0,7,6,0,20,314,Honourable mention
2024,Azamat,Dushanov,6,2,0,7,0,0,15,327,Honourable mention
2024,Eraj,Sabirov,7,2,0,5,1,0,15,327,Honourable mention
2022,Bezhan,Gulov,7,3,0,7,2,0,19,328,Honourable mention
2011,Khusravi,Elmurod,7,0,1,1,2,1,12,320,Honourable mention
