Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Agageldi,Samedov,7,7,0,7,0,0,21,106,Silver medal
2012,Palvan,Agamyradov,7,7,0,7,0,0,21,112,Silver medal
2024,Suleyman,Kochkarov,7,2,0,7,6,1,23,125,Silver medal
2009,Agageldi,Samedov,7,7,1,7,2,0,24,130,Silver medal
2006,Jumageldi,Chariyev,7,0,0,7,5,0,19,117,Silver medal
2024,Maliksha,Meylismyradov,7,2,0,7,6,0,22,147,Silver medal
2015,Dovlet,Ovlyagulyyev,7,0,1,7,3,0,18,140,Bronze medal
2012,Shanur,Allabayev,7,7,0,4,0,0,18,163,Bronze medal
2003,Arslan,Berdimuradow,2,0,0,7,7,0,16,138,Bronze medal
2017,Resul,Mamiyev,7,3,0,7,0,0,17,188,Bronze medal
2017,Jepbar,Asgarov,7,3,0,7,0,0,17,188,Bronze medal
2015,Alshir,Soyunjov,5,1,0,7,3,0,16,183,Bronze medal
2009,Kakamyrat,Tusiyev,7,6,0,5,3,0,21,181,Bronze medal
2012,Merdan,Soltanov,7,7,0,3,0,0,17,182,Bronze medal
2010,Rovshen,Hajyyev,4,7,0,7,0,0,18,174,Bronze medal
2009,Gaygysyz,Hojanazarov,7,7,0,4,2,0,20,190,Bronze medal
2009,Nazar,Emirov,7,7,0,5,0,0,19,198,Bronze medal
2021,Nagym,Tanrygulyyev,7,0,0,7,0,0,14,218,Bronze medal
2021,Jennet,Zamanova,7,0,0,7,0,0,14,218,Bronze medal
2013,Nuryagdy,Soyunov,7,4,0,7,0,0,18,196,Bronze medal
2008,Merdan,Artykov,7,5,0,4,1,0,17,199,Bronze medal
2005,Bagtyar,Orazmyrat Kurbanow,7,1,0,7,1,0,16,191,Bronze medal
2024,Hamza,Allaberdiyev,3,7,1,7,1,0,19,227,Bronze medal
2006,Arslan Muhammetmyrat,Hojiyev,7,0,0,7,1,0,15,189,Bronze medal
2010,Serdar,Atayev,7,2,0,7,0,0,16,199,Bronze medal
2023,Selim,Halykov,7,7,0,7,0,0,21,237,Bronze medal
2011,Palvan,Agamyradov,7,1,1,7,0,1,17,222,Bronze medal
2011,Rovshen,Hajyyev,7,0,1,7,1,1,17,222,Bronze medal
2008,Nazar,Emirov,7,5,0,4,0,0,16,212,Bronze medal
2002,Bezirgen,Veliyev,0,7,0,7,2,0,16,191,Bronze medal
2004,Mergen,Orazmuhammedov,6,1,0,7,3,0,17,212,Bronze medal
2013,Merdan,Soltanov,7,0,0,7,2,0,16,234,Bronze medal
2008,Azat,Meredov,7,1,0,7,0,0,15,238,Bronze medal
2008,Kakamyrat,Tusiyev,7,1,0,7,0,0,15,238,Bronze medal
2011,Kerven,Durdymyradov,7,0,0,7,1,1,16,253,Bronze medal
2018,Jepbar,Asgarov,7,1,0,7,1,0,16,271,Bronze medal
2024,Selim,Halykov,7,2,0,7,0,0,16,283,Bronze medal
2021,Muhammetmyrat,Gochmyradov,5,0,0,7,0,0,12,290,Bronze medal
2004,Batyr,Atayev,7,2,0,0,7,0,16,229,Bronze medal
2013,Nazar,Rahmanov,1,7,0,7,0,0,15,250,Bronze medal
2013,Dovlet,Ovlyagulyyev,2,0,1,7,5,0,15,250,Bronze medal
2016,Resul,Mamiyev,7,1,0,7,0,0,15,281,Honourable mention
2016,Jepbar,Asgarov,7,1,0,7,0,0,15,281,Honourable mention
2017,Agamyrat,Begenjov,5,3,0,7,0,0,15,292,Honourable mention
2017,Rahman,Agamyradov,7,1,0,7,0,0,15,292,Honourable mention
2017,Akmyrat,Tirkeshov,7,1,0,7,0,0,15,292,Honourable mention
2018,Agamyrat,Begenjov,7,1,0,7,0,0,15,290,Honourable mention
2023,Hamza,Allaberdiyev,7,3,0,7,0,0,17,315,Honourable mention
2007,Jumageldi,Chariyev,3,0,0,7,2,0,12,266,Honourable mention
2007,Merdan,Artykov,3,0,0,7,2,0,12,266,Honourable mention
2016,Sapar,Charyyev,7,0,0,7,0,0,14,312,Honourable mention
2019,Ashyrgeldi,Atayev,7,1,0,7,0,0,15,326,Honourable mention
2013,Ilshat,Valiyev,7,0,0,7,0,0,14,279,Honourable mention
2024,Arman,Ahmetov,6,0,0,7,2,0,15,327,Honourable mention
2017,Rustem,Gurbandurdyyev,7,0,0,7,0,0,14,342,Honourable mention
2015,Perman,Iljanov,0,1,0,7,3,0,11,322,Honourable mention
2021,Didar,Gayypov,0,0,1,7,0,0,8,348,Honourable mention
2023,Davut,Muhammetgurbanov,7,7,0,2,0,0,16,349,Honourable mention
2023,Rahym,Agamyradov,7,7,1,1,0,0,16,349,Honourable mention
2018,Kadyrberdi,Annabayev,7,2,0,2,1,0,12,338,Honourable mention
2012,Ashyrmuhammet,Serdarov,7,1,0,3,0,0,11,315,Honourable mention
2012,Ilshat,Valiyev,7,0,0,3,1,0,11,315,Honourable mention
