Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Kerry Shastri,Singh,6,7,0,7,1,0,21,106,Silver medal
2015,Prasanna,Ramakrishnan,7,4,0,7,1,0,19,118,Silver medal
2014,Prasanna,Ramakrishnan,7,6,0,7,1,0,21,163,Bronze medal
2001,Abuenameh,Aiyejina,6,0,1,6,1,0,14,181,Bronze medal
2008,Chandresh Amrit,Ramlagan,7,2,0,7,0,0,16,212,Bronze medal
1998,William,Blackwell II,5,0,3,1,7,0,16,176,Bronze medal
2001,Rajini,Haraksingh,5,4,0,0,2,0,11,228,Bronze medal
2017,Sanjeev Amrit,Mahadeo,7,1,0,7,0,0,15,292,Honourable mention
1991,Adrian,Chung,4,7,0,7,0,0,18,156,Honourable mention
2000,Rajini,Haraksingh,7,0,0,3,0,0,10,230,Honourable mention
2000,Kezia,Charles,7,0,0,3,0,0,10,230,Honourable mention
1994,Ravindra,Maharaj,0,7,6,3,1,1,18,193,Honourable mention
2018,Sanjeev Amrit,Mahadeo,7,2,0,3,1,1,14,307,Honourable mention
2024,Liam Anthony,Pinto,7,1,0,0,7,0,15,327,Honourable mention
2003,Kieron Scott,Singh,2,1,0,7,0,0,10,247,Honourable mention
1991,Desmond,Deonanan,0,7,3,4,1,0,15,175,Honourable mention
2009,Chandresh Amrit,Ramlagan,7,2,0,1,1,0,11,314,Honourable mention
2021,Rahul,Gopeesingh,7,0,0,1,0,0,8,348,Honourable mention
2007,Vinod,Sookram,0,3,0,7,1,0,11,293,Honourable mention
2013,Prasanna,Ramakrishnan,1,1,0,7,2,0,11,306,Honourable mention
2019,Joshua,Davis,7,2,1,1,2,0,13,361,Honourable mention
2003,Sarasvati,Bahadursingh,2,0,0,7,0,0,9,269,Honourable mention
2009,Kerry Shastri,Singh,1,7,0,2,0,0,10,335,Honourable mention
2011,Prithvi,Ramakrishnan,2,0,0,7,2,0,11,338,Honourable mention
2004,Siddarth,Kamath,0,1,2,7,1,0,11,295,Honourable mention
2007,Keron,Mootoosingh,0,1,1,7,0,0,9,344,Honourable mention
2019,Rajeev Vivek Dasrath,Gopeesingh,7,0,0,0,2,0,9,417,Honourable mention
2006,Jagdesh,Ramnanan,2,0,0,7,1,0,10,335,Honourable mention
1995,Ravindra,Maharaj,7,0,1,3,1,0,12,278,Honourable mention
2012,Prasanna,Ramakrishnan,7,0,0,2,0,0,9,373,Honourable mention
1997,Yogishwar,Maharaj,0,7,0,1,0,0,8,322,Honourable mention
2007,Yohan,Seepersad,0,1,0,7,0,0,8,365,Honourable mention
2016,Sanjeev Amrit,Mahadeo,7,0,0,0,0,0,7,443,Honourable mention
1995,Peter,Hosein,7,0,1,0,0,1,9,306,Honourable mention
1991,Marcus,Bosland,1,0,0,0,7,0,8,238,Honourable mention
2024,Preston,Chang Kit,7,0,0,2,0,0,9,457,Honourable mention
2007,Sridevi,Maharaj,0,0,0,7,0,0,7,402,Honourable mention
2006,Brandon,Antoine,0,0,0,7,0,0,7,408,Honourable mention
2000,Sean,Jackman,3,2,0,5,0,0,10,230,
1993,Ricardo,Ambrose,6,0,0,0,1,1,8,225,
1997,Rakesh,Lal,1,2,0,5,1,1,10,285,
1993,Geoff,Lee Seyon,1,0,0,2,3,0,6,265,
1998,Yogishwar,Maharaj,3,0,0,3,2,0,8,271,
1996,William,Blackwell II,2,1,1,1,0,0,5,290,
1996,Rakesh,Lal,2,0,1,1,0,1,5,290,
1993,Ravindra,Maharaj,0,2,0,0,3,0,5,284,
1993,Shiva,Sandy,0,2,0,0,3,0,5,284,
2004,Amrik,Kochhar,6,2,0,0,1,0,9,335,
2001,Stephen,Dabideen,0,1,1,1,2,0,5,327,
1994,Brian,Armour,1,5,2,2,2,0,12,268,
1999,Christopher,Brereton,4,1,0,0,1,1,7,315,
1999,Rajini,Haraksingh,1,0,3,0,2,1,7,315,
1997,William,Blackwell II,1,2,1,0,4,0,8,322,
1992,Desmond,Deonanan,5,0,0,0,0,2,7,229,
1992,Anil,Roopnarine,0,2,1,2,0,2,7,229,
2005,Brandon,Antoine,0,1,0,2,0,0,3,368,
2005,Yohan,Seepersad,0,1,0,1,1,0,3,368,
2018,Maehak Sandhya Jyoti,Ramlogan,0,1,0,5,1,0,7,430,
1998,Ravi,Baball,0,0,1,4,0,0,5,306,
2002,Yurie,Budhu,5,0,0,1,0,0,6,352,
