Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1992,Masmould,Nader,7,7,7,7,1,5,34,14,Gold medal
2021,Youssef,Marrakchi,7,1,0,7,7,0,22,63,Silver medal
1989,Ahmed,Abbes,7,7,2,7,7,4,34,41,Silver medal
1990,Latirr,Chiraz,7,5,3,3,3,4,25,56,Silver medal
2010,Amine,Marrakchi,7,7,0,7,0,0,21,106,Silver medal
2012,Mehdi,Khayeche,7,7,0,7,0,0,21,112,Silver medal
2020,Youssef,Marrakchi,7,0,3,7,7,0,24,140,Silver medal
1988,Ahmed,Abbes,7,4,0,3,7,0,21,73,Bronze medal
1991,Nadir,Masmoudi,7,7,7,7,0,0,28,87,Bronze medal
2023,Adem,Bizid,7,7,0,7,2,0,23,183,Bronze medal
2015,Zouhaier,Ferchiou,5,0,1,7,3,0,16,183,Bronze medal
1986,Ben,Halima Raouf,3,7,0,5,7,0,22,69,Bronze medal
1991,Valid,Ben Ameur,7,7,4,1,6,0,25,105,Bronze medal
1992,Slim,Jemal,7,3,0,7,0,2,19,108,Bronze medal
1985,Nizar,Lahiani,7,2,1,4,2,1,17,75,Bronze medal
2013,Zouhaier,Ferchiou,7,2,0,7,3,0,19,191,Bronze medal
1990,Ben,Hamed Suliane,3,4,2,3,6,0,18,116,Bronze medal
1988,Khadheur,Karray,5,5,0,7,0,0,17,102,Bronze medal
1988,Imed,Gharbi,6,4,0,0,7,0,17,102,Bronze medal
2001,Nidhal,Smaoui,5,0,1,7,1,0,14,181,Bronze medal
2024,Mohamed Yassine,Chebil,3,1,0,7,7,0,18,238,Bronze medal
2017,Khalil,Miri,7,2,0,7,0,0,16,265,Bronze medal
1985,Sadok,Kallel,3,0,0,4,7,1,15,93,Bronze medal
2011,Mohamed Slim,Kammoun,7,0,0,7,2,0,16,253,Bronze medal
2009,Beyrem,Khalfaoui,7,2,0,5,0,0,14,264,Bronze medal
2021,Ala,Boussoffara,5,0,0,7,0,0,12,290,Bronze medal
2022,Hamadi,Dardouri,7,7,0,7,1,0,22,286,Honourable mention
2015,Houcine,Ben Daly,7,1,0,4,1,0,13,283,Honourable mention
2023,Omar,Cherif,7,3,0,7,0,0,17,315,Honourable mention
2022,Amir,Soussi,6,7,0,7,1,0,21,303,Honourable mention
2021,Hamadi,Dardouri,3,0,0,7,0,0,10,319,Honourable mention
2018,Mehdi,Makni,7,2,0,3,2,0,14,307,Honourable mention
2016,Chiheb,Wled Ahmed,7,0,0,7,0,0,14,312,Honourable mention
2019,Ayhem,Bouabid,7,4,0,4,0,0,15,326,Honourable mention
2013,Mehdi,Khayeche,0,0,0,7,7,0,14,279,Honourable mention
2015,Mahdi,Labidi,4,0,0,7,1,0,12,307,Honourable mention
2024,Mohamed Karim,Boualleg,7,1,0,7,0,0,15,327,Honourable mention
2024,Oussema,Soussi,7,1,0,7,0,0,15,327,Honourable mention
2018,Youssef,Chaabouni,7,2,0,4,0,0,13,320,Honourable mention
2017,Iheb,Ghanmi,7,0,0,7,0,0,14,342,Honourable mention
2021,Mohamed Aziz,Ben Nejma,7,0,0,0,0,0,7,372,Honourable mention
1989,Nessim,Chabouni,0,6,0,7,0,0,13,176,Honourable mention
2016,Nassim,Walha,7,0,0,5,0,0,12,368,Honourable mention
2002,Wided,Smati,0,7,0,0,2,0,9,294,Honourable mention
2018,Ayhem,Bouabid,7,2,0,1,0,0,10,368,Honourable mention
2023,Amir,Soussi,7,4,0,1,2,0,14,385,Honourable mention
2017,Nassim,Walha,7,0,0,6,0,0,13,390,Honourable mention
2022,Othmen,Aweb,1,7,0,7,1,0,16,377,Honourable mention
2020,Hamadi,Dardouri,7,2,0,0,0,0,9,395,Honourable mention
2020,Mohamed Amine,El Mnif,7,2,0,0,0,0,9,395,Honourable mention
2008,Beyrem,Khalfaoui,7,1,0,1,0,0,9,346,Honourable mention
1989,Adel,Akrout,0,7,0,1,0,3,11,190,Honourable mention
1991,Mohamed,Essafi,7,2,0,0,2,0,11,210,Honourable mention
2011,Chedly,Khemakhem,7,0,0,0,2,0,9,378,Honourable mention
2019,Fedi,Kallel,7,0,0,0,2,0,9,417,Honourable mention
2019,Mohamed Yassine,Ben Amor,7,0,0,0,2,0,9,417,Honourable mention
2013,Aleddine,Sabbagh,1,0,0,7,0,0,8,355,Honourable mention
2013,Bassel,Belhadj,1,0,0,7,0,0,8,355,Honourable mention
2017,Chady,Ben Hamida,4,1,0,7,0,0,12,416,Honourable mention
2004,Boufahja,Abderrazak,1,1,0,0,7,0,9,335,Honourable mention
2010,Mohamed Slim,Kammoun,3,0,0,7,0,0,10,366,Honourable mention
2024,Chedi,Hammami,3,0,0,7,0,0,10,434,Honourable mention
2019,Youssef,Marrakchi,1,0,0,0,7,0,8,444,Honourable mention
2020,Oussama,Bouaneni,7,0,0,0,0,0,7,445,Honourable mention
2016,Chady,Ben Hamida,7,0,0,0,0,0,7,443,Honourable mention
2016,Naoures,Elkhemissi,7,0,0,0,0,0,7,443,Honourable mention
2023,Oussema,Soussi,7,1,0,1,0,0,9,459,Honourable mention
2014,Mariem,El Euch,1,0,0,7,0,0,8,421,Honourable mention
2023,Aweb,Othmen,7,0,0,1,0,0,8,490,Honourable mention
2022,Younes,Abid,1,1,0,7,0,0,9,469,Honourable mention
2022,Khalil,Tlili,1,0,0,7,1,0,9,469,Honourable mention
