Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Melih,Üçer,7,7,7,7,7,1,36,4,Gold medal
2008,Umut,Varolgüneş,7,7,7,7,7,1,36,8,Gold medal
2011,Mehmet,Sönmez,7,1,7,7,7,5,34,10,Gold medal
2001,Nizameddin,Ordulu,7,7,1,7,7,7,36,10,Gold medal
2011,Ufuk,Kanat,7,1,6,7,7,5,33,12,Gold medal
2024,Barış,Koyuncu,7,7,2,7,5,5,33,13,Gold medal
2008,Ömer Faruk,Tekin,7,7,7,7,7,0,35,12,Gold medal
2008,Melih,Üçer,7,7,7,7,7,0,35,12,Gold medal
2007,Cafer,Tayyar Yıldırım,7,7,3,7,7,0,31,12,Gold medal
2024,Mehmet Can,Baştemir,7,7,2,7,7,2,32,14,Gold medal
2009,Umut,Varolgüneş,7,7,7,7,7,0,35,14,Gold medal
2009,Süreyya Emre,Kurt,7,7,7,6,7,0,34,27,Gold medal
2012,Mehmet,Sönmez,7,7,0,7,7,2,30,27,Gold medal
2002,Selim,Bahadır,7,6,3,7,7,0,30,24,Gold medal
2003,Selim,Bahadır,7,3,0,7,7,7,31,23,Gold medal
2018,Nurullah Giray,Kuru,7,7,7,2,7,1,31,34,Gold medal
2013,Mehmet Efe,Akengin,7,7,3,7,7,0,31,34,Gold medal
2011,Mehmet Efe,Akengin,7,0,7,5,7,2,28,39,Gold medal
2014,Osman,Akar,7,7,1,7,7,0,29,40,Gold medal
1999,Mehmet Bumin,Yenmez,6,7,2,7,7,0,29,33,Gold medal
2019,İbrahim Suat,Evren,7,7,3,7,7,0,31,48,Gold medal
2023,Mehmet Can,Baştemir,7,7,1,7,7,3,32,50,Gold medal
2015,Ahmet,İleri,7,7,3,7,1,0,25,40,Silver medal
2022,Mehmet Can,Baştemir,7,7,4,7,7,1,33,45,Silver medal
2020,Ahmed Said,Gençkol,7,2,7,7,7,0,30,50,Silver medal
2003,Nizameddin,Ordulu,2,5,0,7,7,7,28,38,Silver medal
2021,Ömer Faruk,Erzurumluoğlu,7,0,1,7,7,1,23,53,Silver medal
1999,Melih,Onuş,7,6,0,7,7,0,27,39,Silver medal
2014,Halil İbrahim,Güllük,7,7,0,7,7,0,28,50,Silver medal
2014,Enes,Kocabey,7,6,1,7,7,0,28,50,Silver medal
2003,Selman,Erol,7,3,0,7,7,1,25,50,Silver medal
2009,Fehmi Emre,Kadan,7,7,1,7,7,0,29,62,Silver medal
2005,Said,Tunç,7,7,0,7,7,2,30,57,Silver medal
2023,Barış,Koyuncu,7,7,7,7,0,2,30,71,Silver medal
2023,Şevket Onur,Yılmaz,7,7,7,7,2,0,30,71,Silver medal
2006,Hale Nur,Kazaçeşme,7,7,1,7,1,0,23,60,Silver medal
2000,Alp,Şimşek,7,5,0,7,7,0,26,57,Silver medal
2003,Fatih,Deniz,7,7,0,7,1,1,23,59,Silver medal
2016,Onur,Sulak,7,7,0,7,4,0,25,78,Silver medal
1995,Bayram,Yenikaya,7,7,4,7,7,2,34,54,Silver medal
2015,Muhammet Furkan,Merdan,7,7,0,7,1,0,22,76,Silver medal
2023,Melek,Güngör,7,7,7,7,0,1,29,82,Silver medal
2002,Nizameddin,Ordulu,5,6,1,7,7,0,26,64,Silver medal
2024,Hakan,Gökdoğan,7,7,0,7,0,5,26,82,Silver medal
2000,Ahmet,Çetintaş,7,6,0,3,7,2,25,63,Silver medal
2001,Yunus,Eşençayı,7,0,1,7,7,2,24,65,Silver medal
2020,Yusuf Kağan,Çiçekdağ,7,7,0,7,7,0,28,86,Silver medal
2022,Barış,Koyuncu,7,7,2,7,7,0,30,84,Silver medal
2008,Fehmi Emre,Kadan,5,7,7,7,0,0,26,78,Silver medal
2009,Melih,Üçer,7,7,7,0,7,0,28,83,Silver medal
2000,Mehmet Bumin,Yenmez,7,1,0,7,7,2,24,68,Silver medal
2011,Yunus Emre,Demirci,7,1,0,7,7,1,23,83,Silver medal
2011,Polatkan,Polat,7,0,1,7,7,1,23,83,Silver medal
2006,Metehan,Özsoy,7,1,0,7,7,0,22,76,Silver medal
2006,Batuhan,Karagöz,7,0,1,7,7,0,22,76,Silver medal
2012,Ufuk,Kanat,7,1,0,7,7,1,23,85,Silver medal
2016,Ahmet,İleri,7,7,1,7,2,0,24,94,Silver medal
2007,Melih,Üçer,3,7,0,7,6,0,23,83,Silver medal
1989,Ümit,Kumcuoğlu,7,7,0,5,7,7,33,48,Silver medal
2004,Kerim Yasin,Oktay,6,6,2,7,4,2,27,81,Silver medal
1996,Ali Ekber,Gürel,4,7,3,7,0,1,22,71,Silver medal
2017,İlker Can,Çiçek,7,4,0,7,2,0,20,103,Silver medal
2023,Serdar,Bozdağ,7,7,3,7,2,2,28,104,Silver medal
2014,Emre,Girgin,7,7,1,7,0,3,25,95,Silver medal
2015,Halil İbrahim,Güllük,7,6,1,5,1,0,20,101,Silver medal
2015,Ahmet Abdullah,Keleş,7,2,1,7,3,0,20,101,Silver medal
2015,Feyza,Duman,7,2,1,7,3,0,20,101,Silver medal
2012,Mehmet Efe,Akengin,7,7,1,7,0,0,22,96,Silver medal
2012,Yunus Emre,Demirci,7,1,0,7,7,0,22,96,Silver medal
1993,Tamer,Kahveci,1,6,2,5,5,3,22,73,Silver medal
2007,Süreyya Emre,Kurt,7,7,0,7,1,0,22,93,Silver medal
2005,Samet,Oymak,7,7,0,1,4,7,26,93,Silver medal
1997,Fatih,Sulak,1,5,7,7,7,0,27,86,Silver medal
2022,Hakan ,Gökdoğan,7,7,1,7,7,0,29,112,Silver medal
2022,Şevket Onur,Yılmaz,7,7,1,7,7,0,29,112,Silver medal
2023,Hakan,Gökdoğan,7,7,4,7,2,0,27,119,Silver medal
1996,Mehmet,Ekmekçi,4,7,2,7,0,1,21,82,Silver medal
2009,Vefa,Göksel,7,7,0,5,7,0,26,110,Silver medal
2005,Süleyman,Fatih Hafalır,7,7,0,7,4,0,25,100,Silver medal
2006,Hasan Hüseyin,Eruslu,7,7,0,7,0,0,21,98,Silver medal
2010,Ufuk,Kanat,7,7,0,7,0,0,21,106,Silver medal
2010,Polatkan,Polat,7,7,0,7,0,0,21,106,Silver medal
2010,Hikmet,Yıldız,6,7,1,7,0,0,21,106,Silver medal
2009,Ufuk,Kanat,7,7,1,7,3,0,25,117,Silver medal
