Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1993,Hung-Wu,Wu,7,7,7,7,7,7,42,1,Gold medal
2005,Cheng-Chiang,Tsai,7,7,7,7,7,7,42,1,Gold medal
2005,Shinn-Yih,Huang,7,7,7,7,7,7,42,1,Gold medal
2014,Po-Sheng,Wu,7,7,7,7,7,7,42,1,Gold medal
1998,Chien-I,Liao,7,7,7,7,7,6,41,2,Gold medal
2021,Wei-Hsuan,Hsin,6,2,7,7,7,7,36,3,Gold medal
2018,Shih-Yu,Wang,7,7,4,7,7,7,39,4,Gold medal
2004,Cheng-Chiang,Tsai,6,7,7,7,7,7,41,5,Gold medal
2018,Jung-Tao,Cheng,7,7,7,7,3,7,38,6,Gold medal
2014,William Ting-Wei,Chao,7,6,7,7,6,5,38,7,Gold medal
2016,Calvin Shao-Huai,Hsu,7,7,0,7,7,7,35,12,Gold medal
2014,Evan Yiting,Chen,7,7,7,7,7,1,36,12,Gold medal
2014,Hung-Hsun,Yu,7,7,7,7,7,0,35,15,Gold medal
1998,Hsin-Hong,Lai,7,7,2,7,6,7,36,12,Gold medal
2010,Shiang-Chih,Hua,7,7,0,7,7,1,29,18,Gold medal
1998,Jih-Chiang,Yeo,7,7,3,7,7,4,35,15,Gold medal
2016,Pin-Hung,Lee,7,7,2,7,2,6,31,23,Gold medal
2022,Po-Han,Wu,7,7,2,7,6,7,36,23,Gold medal
2001,Chia-Chun,Tzeng,7,7,2,7,7,4,34,19,Gold medal
2018,Wei-Ping,Huang,7,7,4,7,7,1,33,24,Gold medal
2000,Po-Ning,Chen,7,7,2,7,7,3,33,20,Gold medal
2013,Ting-Chun,Lin,7,7,6,7,7,0,34,23,Gold medal
2012,Brian,Chen,7,7,4,7,2,4,31,24,Gold medal
2011,Shiang-Chih,Hua,7,1,7,7,7,0,29,25,Gold medal
2019,Chung-Chun,Huang,7,6,0,7,7,7,34,28,Gold medal
2023,En-Hua,Chiang,7,7,7,7,7,0,35,28,Gold medal
2024,Tien-Hui,Lee,7,7,0,7,7,2,30,29,Gold medal
2017,Tien-Chun,Cheng,7,5,0,7,7,0,26,30,Gold medal
1999,Jia-Ching,Wang,7,7,2,7,7,1,31,23,Gold medal
2007,Pao-Yu,Chien,7,7,1,7,7,0,29,28,Gold medal
2007,Kuan-Chieh,Liao,6,7,1,7,7,1,29,28,Gold medal
2006,Yi-Wei,Chan,7,4,7,7,3,0,28,27,Gold medal
2008,Pao-Yu,Chien,7,7,6,7,7,0,34,29,Gold medal
2005,Kun-Chieh,Wang,7,7,7,7,7,1,36,29,Gold medal
2016,Jung-Tao,Cheng,7,2,5,7,7,2,30,35,Gold medal
2002,Chung-Te,Li,7,7,6,7,1,1,29,29,Gold medal
2000,Jen-Hao,Liou,7,7,2,7,6,2,31,28,Gold medal
2008,Szu-Po,Wang,7,7,5,7,7,0,33,33,Gold medal
2003,Shao-Lun,Huang,7,7,0,7,7,1,29,29,Gold medal
2013,Po-Sheng,Wu,7,7,0,7,7,3,31,34,Gold medal
2009,Hsin-Po,Wang,7,7,1,7,7,4,33,37,Gold medal
2011,Hsin-Po,Wang,7,2,2,7,7,3,28,39,Gold medal
2024,Yu-An,Cho,7,7,1,7,7,0,29,47,Gold medal
2000,Sheng-Fong,Pai,7,7,2,7,7,0,30,36,Gold medal
2004,Hsin-Yu,Chao,7,7,3,7,6,2,32,38,Gold medal
2004,Daw-Sen,Hwang,0,7,4,7,7,7,32,38,Gold medal
2016,Shih-Yu,Wang,7,7,0,7,4,3,28,45,Silver medal
2022,Chih-Kai,Liao,7,7,2,7,7,3,33,45,Silver medal
2007,Yi-Wei,Chan,7,7,0,7,7,0,28,40,Silver medal
2002,Yi-Hao,Kao,7,7,0,7,7,0,28,40,Silver medal
2002,Chien-Yu,Chou,6,7,1,7,7,0,28,40,Silver medal
2002,Shao-Lun,Huang,6,7,1,7,7,0,28,40,Silver medal
1999,Shu-Ping,Yeh,7,0,3,7,7,3,27,39,Silver medal
1995,Ho-Lin,Chen,7,7,5,7,7,2,35,36,Silver medal
2013,Hung-Hsun,Yu,7,5,7,7,0,4,30,46,Silver medal
2019,Yu-Sheng,Shih,7,7,1,7,7,0,29,55,Silver medal
2023,Chi-An,Chang,7,7,1,7,7,2,31,55,Silver medal
2008,Pi-Hsun,Shih,7,6,3,7,7,0,30,48,Silver medal
1993,Shin-Sheng,Yuan,7,7,7,4,1,2,28,39,Silver medal
1993,Chung-Chieh,Shan,7,1,3,3,7,7,28,39,Silver medal
2012,Kuan-Yu,Lin,7,7,0,6,7,0,27,52,Silver medal
1997,Chien-I,Liao,4,7,1,7,7,7,33,44,Silver medal
2020,Cheng-Ying,Chang,7,7,0,7,7,1,29,59,Silver medal
2011,Che-Ping,Tsai,7,0,7,7,6,0,27,55,Silver medal
2006,Pi-Hsun,Shih,7,1,7,6,4,0,25,49,Silver medal
1999,Chia-Ping,Lin,5,7,1,7,6,0,26,45,Silver medal
2015,Tien-Chun,Cheng,7,3,1,6,1,5,23,58,Silver medal
2015,Tai-Ning,Liao,7,1,2,7,3,3,23,58,Silver medal
2015,Pang-Cheng,Wu,7,2,0,7,7,0,23,58,Silver medal
2021,Po-Hsiang,Hsu,7,1,1,7,6,0,22,63,Silver medal
2021,Pai-Li,Cheng,7,0,1,7,7,0,22,63,Silver medal
2018,Ting-Feng,Lin,7,7,0,7,7,1,29,61,Silver medal
2016,Tien-Chun,Cheng,7,7,0,3,7,3,27,63,Silver medal
2012,Che-Ping,Tsai,7,4,0,7,7,1,26,61,Silver medal
2010,Kai,Wang,7,7,1,7,2,0,24,60,Silver medal
2023,Chi-En,Chung,7,7,2,7,7,0,30,71,Silver medal
2013,Yen-Shi,Wang,7,7,0,7,7,0,28,61,Silver medal
2017,Yu-Pin,Chiu,5,7,0,7,0,3,22,72,Silver medal
2017,Shih-Yu,Wang,7,1,0,7,0,7,22,72,Silver medal
1993,Chien-Chang,Tzeng,7,5,0,5,7,2,26,49,Silver medal
1992,Tse Jen,Wei,7,4,1,6,7,4,29,39,Silver medal
2000,Jia-Ching,Wang,7,7,1,7,4,0,26,57,Silver medal
1999,Yu-Ting,Liu,7,4,2,7,1,3,24,56,Silver medal
1995,Yi-Chih,Chiu,7,7,7,6,7,0,34,54,Silver medal
2011,Wayne,Liao,7,1,1,7,7,1,24,74,Silver medal
2023,Yu-An,Cho,7,7,1,7,7,0,29,82,Silver medal
2002,Hao-Wei,Chu,7,7,1,7,3,1,26,64,Silver medal
2017,Shuang-Yen,Lee,7,7,0,7,0,0,21,82,Silver medal
2017,Jung-Tao,Cheng,7,7,0,7,0,0,21,82,Silver medal
2004,Li-Ping,Mo,6,6,3,7,4,3,29,65,Silver medal
2004,Shinn-Yih,Huang,7,6,0,7,5,4,29,65,Silver medal
2024,En-Hua,Chiang,7,7,3,7,1,1,26,82,Silver medal
2001,Hau-Wei,Chu,7,7,0,7,3,0,24,65,Silver medal
1999,Duen-Min,Deng,7,1,1,7,6,1,23,62,Silver medal
1998,Shyh-Haur,Wang,7,0,7,7,7,0,28,58,Silver medal
2005,Yi,Ou Yang,1,6,0,7,7,7,28,72,Silver medal
2022,Yi-Hsiang,Chiao,7,7,2,7,7,0,30,84,Silver medal
2010,Yi-Chan,Wu,7,7,1,7,0,0,22,76,Silver medal
2008,Lun-Kai,Hsu,7,5,0,7,7,0,26,78,Silver medal
1996,Chan,Hwai-Lian,2,7,7,7,0,0,23,62,Silver medal
2009,Han Lin,Hsieh,7,7,0,7,7,0,28,83,Silver medal
2009,Chien-Yi,Wang,7,7,1,6,7,0,28,83,Silver medal
2000,Ching-Chih,Weng,7,7,0,6,4,0,24,68,Silver medal
2011,Kai,Wang,7,1,0,7,7,1,23,83,Silver medal
2011,Brian,Chen,7,1,0,7,7,1,23,83,Silver medal
1995,Chih-Yawn,Chuang,7,7,5,7,7,0,33,61,Silver medal
1994,Chung-Chieh,Shan,3,7,7,7,3,7,34,58,Silver medal
2006,Chung-Heng,Yeh,7,7,0,7,1,0,22,76,Silver medal
1999,Tsung-Mau,Lin,7,7,3,3,1,1,22,70,Silver medal
2016,Yu-Pin,Chiu,7,7,0,7,3,0,24,94,Silver medal
2007,Yu-Wei,Fan,7,7,0,7,1,1,23,83,Silver medal
2004,Kun-Chieh,Wang,7,6,2,7,5,0,27,81,Silver medal
1994,Ho-Lin,Chen,7,7,7,2,3,7,33,67,Silver medal
2007,Pi-Hsun,Shih,7,7,0,7,1,0,22,93,Silver medal
2009,Yu-Fan,Tung,7,7,1,5,7,0,27,101,Silver medal
2003,Chung-Heng,Yeh,7,3,0,7,4,0,21,83,Silver medal
2001,Chen-Han,Chung,7,7,1,4,3,0,22,87,Silver medal
2020,Tsung-Chen,Chen,7,7,4,7,1,1,27,114,Silver medal
1997,Szu-Yu,Chen,7,7,1,7,4,1,27,86,Silver medal
1997,Chan,Hwai-Lian,4,7,1,7,7,1,27,86,Silver medal
1997,Bo-Kai,Huang,4,7,0,7,7,2,27,86,Silver medal
2013,Yu-Guan,Hsieh,7,6,0,7,7,0,27,101,Silver medal
2020,Te-Cheng,Liu,7,5,0,7,7,0,26,121,Silver medal
2019,Shang-Yu,Wu,7,0,6,6,7,0,26,122,Silver medal
2006,I-An,Fan,7,7,0,7,0,0,21,98,Silver medal
2006,Tzu-Chiao,Lin,7,7,0,7,0,0,21,98,Silver medal
1992,Chuan-Hsiang,Huang,7,4,2,7,0,5,25,65,Silver medal
1992,Hung-Wu,Wu,7,4,0,7,0,7,25,65,Silver medal
1994,Yu-Chang,Huang,3,7,7,7,6,1,31,78,Silver medal
2010,Chih-Yang,Hsia,7,7,0,7,0,0,21,106,Silver medal
2003,Daw-Sen,Hwang,2,3,0,7,7,1,20,93,Silver medal
2015,Yu-Pin,Chiu,7,1,1,7,3,0,19,118,Silver medal
2012,Wayne,Liao,7,1,0,3,7,3,21,112,Silver medal
1998,Ming-Yang,Chen,7,4,2,4,7,1,25,86,Silver medal
2001,Chien-Ming,Lan,7,1,3,7,3,0,21,97,Silver medal
2009,Chen-Yu,Yang,7,7,1,3,7,0,25,117,Silver medal
2013,Hung,Chiang,7,6,0,7,1,5,26,110,Silver medal
2005,Che-Yu,Liu,7,7,0,1,7,2,24,108,Silver medal
2008,Po-Hsiang,Hao,7,7,1,7,1,0,23,116,Silver medal
1995,Shin-Yao,Jow,7,2,6,7,7,0,29,90,Silver medal
1993,Yu-Chang,Huang,7,1,0,3,4,5,20,91,Silver medal
1996,Chen,Yu-Chun,6,1,5,1,0,7,20,94,Silver medal
2023,Meng-Che,Hsu,7,7,1,7,3,0,25,137,Silver medal
1994,Chun-Hsiung,Hsia,2,7,7,1,6,7,30,88,Silver medal
2001,Chung-Te,Li,7,7,2,2,2,0,20,108,Silver medal
2001,I-Hsiang,Wang,7,7,2,1,3,0,20,108,Silver medal
2009,Yi-Chan,Wu,7,3,0,7,7,0,24,130,Silver medal
2021,Chih-Kai,Liao,7,1,0,5,7,0,20,143,Silver medal
2006,Che-Yu,Liu,7,1,0,6,5,0,19,117,Silver medal
2008,Kuan-Chieh,Liao,7,1,0,7,7,0,22,127,Silver medal
2024,Ting-Wei,Chang,7,5,2,7,1,0,22,147,Silver medal
2017,Wei-Jiun,Kao,7,4,0,7,0,0,18,139,Bronze medal
2003,Hsin-Yu,Chao,7,3,0,7,1,0,18,107,Bronze medal
2002,Che-Yu,Wu,6,7,1,7,1,0,22,113,Bronze medal
2000,Yu-Jong,Tzeng,7,7,0,6,0,0,20,111,Bronze medal
1995,Bor-Ching,Su,7,7,5,7,2,0,28,102,Bronze medal
1996,Lin,Kuan-Ming,4,1,2,7,2,2,18,111,Bronze medal
2018,Tien-Sheng,Cheng,7,7,0,7,1,1,23,157,Bronze medal
1993,Ching-I,Huang,7,2,0,0,7,2,18,111,Bronze medal
2021,Yi-Hsiang,Chiao,7,0,0,7,2,0,16,167,Bronze medal
2003,Chin-Yi,Lin,7,3,0,7,0,0,17,124,Bronze medal
2007,Kuan-Yu,Lin,7,3,0,7,1,0,18,145,Bronze medal
2021,Wayne,Yan,7,1,0,7,0,0,15,180,Bronze medal
2014,Po-Jui,Chen,7,5,0,7,2,0,21,163,Bronze medal
2020,Wei-Fu,Tseng,7,1,0,7,7,0,22,181,Bronze medal
2023,Po-Shen,Chang,7,1,1,7,7,0,23,183,Bronze medal
2024,Meng-Che,Hsu,7,7,0,7,0,0,21,182,Bronze medal
2024,Chi-An,Chang,7,0,0,7,7,0,21,182,Bronze medal
2005,Chung-Heng,Yeh,2,1,0,7,7,1,18,156,Bronze medal
1996,Hwu,Yuh-Hua,4,7,2,2,0,1,16,130,Bronze medal
2022,Po-Shen,Chang,7,7,0,7,5,1,27,187,Bronze medal
2022,Chi-An,Chang,7,7,0,7,6,0,27,187,Bronze medal
2020,Po-Hsiang,Hsu,7,2,4,7,0,1,21,206,Bronze medal
1994,Bor-Ching,Su,0,7,7,3,0,7,24,132,Bronze medal
2019,Ming,Hsiao,7,7,0,5,2,0,21,214,Bronze medal
1998,Yu-Ting,Liu,5,2,0,4,7,1,19,145,Bronze medal
2014,Pang-Cheng,Wu,7,6,0,7,0,0,20,200,Bronze medal
2020,Shang-Yu,Wu,7,2,4,7,0,0,20,227,Bronze medal
1992,Po-Yi,Huang,7,0,0,7,0,3,17,120,Bronze medal
1997,Meng - Chiao,Wu,1,0,3,7,7,0,18,177,Bronze medal
2022,Wei-Hua,Yan,7,7,0,7,3,1,25,230,Bronze medal
2019,Tien-Sheng,Cheng,5,1,0,7,7,0,20,245,Bronze medal
1992,Shih-Chieh,Lin,3,1,1,6,0,4,15,133,Bronze medal
2018,Yu-Sheng,Shih,7,7,0,2,0,1,17,250,Bronze medal
1996,Lee,Cho-Yin,3,1,5,3,0,0,12,180,Bronze medal
2019,Cheng-Yen,Li,7,0,0,7,4,0,18,267,Bronze medal
2010,Yu-An,Chen,7,1,0,7,0,0,15,226,Bronze medal
1997,Ming-Yang,Chen,3,7,2,1,3,0,16,200,Bronze medal
2015,Calvin Shao-Huai,Hsu,7,0,0,6,1,0,14,257,Bronze medal
1996,Wu,Po-Chang,1,7,2,1,0,0,11,201,Honourable mention
2015,Wei-Jiun,Kao,0,2,1,7,3,0,13,283,Honourable mention
1994,Hui-Chuan,Huang,0,7,5,1,5,0,18,193,Honourable mention
2012,Chih-Kuan,Yeh,7,1,1,4,0,0,13,277,Honourable mention
1995,Cheng-Chou,Shu,7,0,2,7,1,0,17,210,Honourable mention
2003,Shao-Tang,Liao,2,0,0,0,7,0,9,269,Honourable mention
2010,Tzu-Wei,Tseng,5,0,0,7,0,0,12,337,Honourable mention
2012,Jia-Ruei,Yu,7,0,0,2,0,0,9,373,Honourable mention
1992,Chien-Chang,Tzeng,0,3,2,4,0,4,13,156,
