Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2023,Sidharth ,Puthiyedathu Suresh,7,4,0,7,2,0,20,259,Bronze medal
2023,Aadi,Sinha,7,3,0,0,3,0,13,407,Honourable mention
2022,Aadi,Sinha,1,1,0,7,0,0,9,469,Honourable mention
2009,Alya,Alqaydi,2,0,0,0,0,0,2,482,
2023,Aditya Damodar,Kamat,2,0,0,1,0,0,3,535,
2008,Hussein Ali Salem Ali,Al-Shehhi,0,2,0,0,0,0,2,479,
2008,Alya,Alqaydi,1,1,0,0,0,0,2,479,
2009,Fatmah,Al Salami,0,0,0,1,0,0,1,511,
2019,Meera Mohammed,Obaid Bin Hadeeba Alnuaimi,0,0,0,0,0,0,0,573,
2019,Sara Hasan,Ahmed Abdulla Zaid,0,0,0,0,0,0,0,573,
2019,Maha Sultan,Eid Saeed Alketbi,0,0,0,0,0,0,0,573,
2019,Mitha Jamal Ali,Al-Saadiya,0,0,0,0,0,0,0,573,
2019,Ghadeir Mohamed,Ali Mohamed Alzeyoudi,0,0,0,0,0,0,0,573,
2019,Hour Saif,Mohamed Saif Almazrouei,0,0,0,0,0,0,0,573,
2024,Guntas,Singh,1,0,0,0,0,0,1,565,
2011,Meera Saeed Khalifa,Almazrooei,0,0,0,1,0,0,1,530,
2008,Ahmed Abdelrahman Mohamed,Al Ali,0,1,0,0,0,0,1,508,
2022,Ahmad Shaeel,Akhtar,0,0,0,1,0,0,1,563,
2011,Noura Eisa Ali,Matroushi,0,0,0,0,0,0,0,544,
2011,Abdulla Fahad Ali,Saif,0,0,0,0,0,0,0,544,
2011,Abdelrahman Ali Khamis,Alnaqbi,0,0,0,0,0,0,0,544,
2011,Asma Saif Mohamed,Almazrouei,0,0,0,0,0,0,0,544,
2024,Khalifa Hamad,Khalifa Alhamar Alzaabi,0,0,0,0,0,0,0,589,
2024,Ghosoun Rashed,Mohamed Rashed Alsereidi,0,0,0,0,0,0,0,589,
2024,Mahra Khaled,Jumah Alaraj Aldahmani,0,0,0,0,0,0,0,589,
2009,Kaltham Yousef,Tahnon,0,0,0,0,0,0,0,547,
2009,Alya Abdulla Musabbeh Salem,Alqaydi,0,0,0,0,0,0,0,547,
2009,Meera Saeed Khalifa,Almehairi,0,0,0,0,0,0,0,547,
2008,Omar Sultan,Al Zaabi,0,0,0,0,0,0,0,521,
2023,Mahra Maher ,Ahmad Sharifyan,0,0,0,0,0,0,0,603,
2023,Maitha Maher,Ahmad Sharifyan,0,0,0,0,0,0,0,603,
2023,Athiba Saif Mubarak Hamad,Al Shamsi,0,0,0,0,0,0,0,603,
2022,Rawdha Saleh,Hasan Ali Almarzooqi ,0,0,0,0,0,0,0,579,
2022,Mahra Maher,Ahmad Sharifyan,0,0,0,0,0,0,0,579,
2022,Mohamed Saad,Mohamed Saad Alyaaqeib,0,0,0,0,0,0,0,579,
2022,Shrimali ,Prajwal,0,0,0,0,0,0,0,579,
