Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1969,Simon Phillips,Norton,5,7,7,6,7,8,40,1,Gold medal
1977,John,Rickard,6,6,7,6,7,8,40,1,Gold medal
1975,John,Rickard,6,7,7,6,6,8,40,1,Gold medal
1991,Michael,Fryers,7,7,7,7,7,7,42,1,Gold medal
1994,Catriona Frances,Maclean,7,7,7,7,7,7,42,1,Gold medal
1975,Jonathan James,Hitchcock,6,7,7,6,6,8,40,1,Gold medal
1981,Mark David,Bennet,7,7,7,7,7,7,42,1,Gold medal
1981,William Timothy (Tim),Gowers,7,7,7,7,7,7,42,1,Gold medal
1987,Kevin Mark,Buzzard,7,7,7,7,7,7,42,1,Gold medal
2018,Agnijo,Banerjee,7,7,7,7,7,7,42,1,Gold medal
2024,Alex,Chui,7,7,2,7,7,5,35,5,Gold medal
1978,Richard Ewen,Borcherds,,,,,,,39,2,Gold medal
2017,Joe,Benton,7,7,5,7,1,2,29,7,Gold medal
1990,Oliver Maxim,Riordan,7,7,7,7,7,5,40,6,Gold medal
2007,Jack,Shotton,7,7,2,7,7,1,31,12,Gold medal
1990,Vin,de Silva,7,7,4,7,7,7,39,9,Gold medal
1970,Bernard,Silverman,5,7,8,5,6,8,39,4,Gold medal
2024,Samuel,Sturge,7,7,2,7,7,1,31,19,Gold medal
2016,Warren,Li,7,7,2,7,7,3,33,19,Gold medal
1997,Bennet,Summers,7,7,7,7,7,3,38,15,Gold medal
1996,David William,Bibby,7,5,7,7,0,7,33,14,Gold medal
1992,Mark,Walters,7,1,6,7,7,7,35,11,Gold medal
1973,David John,Goto,4,6,6,5,6,8,35,5,Gold medal
2020,Yuka,Machino,7,7,4,7,7,1,33,22,Gold medal
1976,John,Rickard,0,7,8,6,7,7,35,6,Gold medal
2021,Yuka,Machino,7,0,1,7,7,7,29,24,Gold medal
2021,Samuel,Liew,7,0,1,7,7,7,29,24,Gold medal
2022,Mohit,Hulse,7,7,7,7,7,1,36,23,Gold medal
1992,Eva,Myers,7,4,7,7,2,7,34,14,Gold medal
2013,Andrew,Carlotti,7,7,0,7,7,6,34,23,Gold medal
1984,Paul Nevile,Balister,7,7,7,6,7,6,40,9,Gold medal
2011,James,Aaronson,7,1,7,7,7,0,29,25,Gold medal
1976,Richard Clive,Mason,5,7,8,6,1,7,34,7,Gold medal
2019,Liam,Hill,7,6,0,7,7,7,34,28,Gold medal
2023,Alex,Chui,7,7,7,7,7,0,35,28,Gold medal
2017,Harvey,Yau,7,1,0,7,7,4,26,30,Gold medal
2013,Matei,Mandache,7,7,0,7,7,5,33,26,Gold medal
1967,Simon Phillips,Norton,6,7,8,5,7,8,41,6,Gold medal
2012,Andrew,Carlotti,7,7,5,6,0,4,29,30,Gold medal
1995,Joseph Samuel,Myers,7,7,7,7,2,7,37,23,Gold medal
1995,Edward Thomas,Crane,7,7,7,7,5,4,37,23,Gold medal
2016,Neel,Nanda,7,7,0,7,2,7,30,35,Gold medal
2017,Neel,Nanda,7,4,0,7,0,7,25,36,Gold medal
2003,Paul,Jefferys,7,7,0,7,7,1,29,29,Gold medal
2005,Martin,Orr,7,7,6,7,7,1,35,35,Gold medal
2011,Andrew,Carlotti,7,7,0,7,7,0,28,39,Gold medal
1994,Joseph Samuel,Myers,7,6,7,7,6,7,40,28,Gold medal
1996,Michael,Comyn Ching,7,0,7,7,0,7,28,33,Gold medal
2009,Tim,Hennock,7,7,7,7,4,0,32,44,Gold medal
2004,Paul,Jefferys,7,7,2,7,3,6,32,38,Gold medal
2010,Sergei,Patiakin,7,0,6,7,7,0,27,42,Gold medal
2023,Isaac,King,7,7,4,7,7,0,32,50,Gold medal
1981,Jeremy Charles,Rickard,,,,,,,41,27,Gold medal
1968,Malcolm John,Williamson,,,,,,,39,17,Gold medal
1968,Simon Phillips,Norton,,,,,,,39,17,Gold medal
1968,William,Porterfield,,,,,,,39,17,Gold medal
1985,Matthew John,Richards,7,7,1,7,7,3,32,15,Silver medal
2015,Warren,Li,7,7,1,7,3,0,25,40,Silver medal
1974,Andrew Burn,Apps,5,6,7,6,5,8,37,11,Silver medal
2016,Harvey,Yau,0,7,0,7,7,7,28,45,Silver medal
1976,Douglas Frederick,Easton,5,7,7,4,0,7,30,12,Silver medal
1983,Paul Nevile,Balister,,,,,,,34,16,Silver medal
2003,Jennifer,Gardner,7,7,0,7,7,0,28,38,Silver medal
2002,Paul,Jefferys,7,6,1,7,7,0,28,40,Silver medal
1996,Toby Stephen,Gee,4,7,6,7,2,1,27,36,Silver medal
1979,Colin Henry Allan,Hogben,,,,,,,,,Silver medal
1979,Richard Michael,Durbin,,,,,,,,,Silver medal
1995,Ben Joseph,Green,7,3,7,7,7,4,35,36,Silver medal
2013,Daniel,Hu,7,7,0,7,7,2,30,46,Silver medal
1986,Dominic D.,Joyce,6,7,7,7,6,0,33,19,Silver medal
2009,Luke,Betts,7,7,7,7,3,0,31,50,Silver medal
2014,Warren,Li,7,7,0,7,7,0,28,50,Silver medal
2005,Nathan,Kettle,7,7,7,7,3,2,33,46,Silver medal
1998,Mohan,Ganesalingam,3,7,2,7,7,4,30,38,Silver medal
1975,David G,Frankis,6,7,5,6,6,6,36,13,Silver medal
2005,?,?,3,7,7,7,1,7,32,47,Silver medal
1993,Tom,Fisher,1,1,7,5,7,7,28,39,Silver medal
1987,Andrew David,Smith,7,6,7,7,7,7,41,23,Silver medal
2020,Benedict,Randall Shaw,7,7,0,7,7,1,29,59,Silver medal
2020,Aron,Thomas,7,7,0,7,7,1,29,59,Silver medal
2020,Samuel,Liew,7,7,0,7,7,1,29,59,Silver medal
2024,Sam,Griffiths,7,7,0,7,7,0,28,59,Silver medal
2021,Jenni,Voon,7,1,0,7,7,0,22,63,Silver medal
2018,Harvey,Yau,7,7,0,7,7,1,29,61,Silver medal
1976,David G,Frankis,1,7,8,6,0,7,29,15,Silver medal
2022,Benjamin,Gillott,7,7,2,7,7,2,32,61,Silver medal
2019,Aron,Thomas,7,6,1,7,7,0,28,65,Silver medal
1972,David John,Jackson,,,,,,,,,Silver medal
1993,Luke,Pebody,1,4,6,4,7,5,27,44,Silver medal
1996,Hugh,Robinson,7,1,3,7,1,7,26,46,Silver medal
1996,John,Haslegrave,7,0,7,4,1,7,26,46,Silver medal
1976,Jonathan James,Hitchcock,5,2,8,6,0,7,28,16,Silver medal
1976,Simon Charles,Farmbrough,5,5,6,4,1,7,28,16,Silver medal
2016,Joe,Benton,7,7,2,7,2,1,26,68,Silver medal
1994,Jacob Roger,Shapiro,7,7,7,2,6,7,36,44,Silver medal
2001,David,Loeffler,7,7,1,7,4,0,26,54,Silver medal
1983,Richard Swarup,Biswas,,,,,,,31,22,Silver medal
2022,Alex,Chui,7,7,2,7,7,1,31,68,Silver medal
1971,David John,Jackson,,,,,,,25,14,Silver medal
2013,Warren,Li,7,7,0,7,7,0,28,61,Silver medal
2014,Harvey,Yau,7,6,0,7,7,0,27,69,Silver medal
1967,Malcolm John,Williamson,5,7,3,6,7,8,36,13,Silver medal
1994,Ben Joseph,Green,7,7,7,7,7,0,35,49,Silver medal
2023,Thomas,Kavanagh,7,7,1,7,7,0,29,82,Silver medal
2002,Tim,Austin,3,7,1,7,7,1,26,64,Silver medal
1977,Richard Ewen,Borcherds,,,,,,,29,22,Silver medal
