Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2005,Federico,Bliman Agorio,2,5,0,7,0,4,18,156,Bronze medal
2016,Dino Vincenso,Puppo Tito,7,2,0,7,1,0,17,224,Bronze medal
2020,Alejandro Wenceslao,Serè Fratocchi,7,2,0,4,1,0,14,317,Honourable mention
2021,Hernán Ezequiel,Puschiasis Picapiedra,7,0,0,2,0,0,9,332,Honourable mention
2024,Tobías Joaquín,Rodríguez Albera,7,1,0,7,0,0,15,327,Honourable mention
2012,Ignacio,Correa Durán,7,1,0,4,0,0,12,302,Honourable mention
2019,Alejandro Wenceslao,Serè Fratocchi,7,2,0,3,2,0,14,345,Honourable mention
2011,Ignacio,Correa Durán,3,1,0,7,2,0,13,315,Honourable mention
1997,Ignacio,Escudero,1,7,0,4,0,0,12,258,Honourable mention
2000,Nicolas,Fraiman,7,1,0,1,0,0,9,260,Honourable mention
2005,Fabián Ariel,Kozynski Waserman,0,1,0,7,0,0,8,296,Honourable mention
2019,Hernàn Ezequiel,Puschiasis Picapiedra,7,0,0,6,0,0,13,361,Honourable mention
2023,Mauro,Akerman,7,1,0,7,0,0,15,366,Honourable mention
2024,Florencia,Sapriza Marques,7,0,0,7,0,0,14,366,Honourable mention
2003,Eduardo,Senturión,7,0,0,0,1,0,8,292,Honourable mention
2012,Alejo,Garcia Sassi,7,0,0,3,0,0,10,350,Honourable mention
2009,Matias,Escuder,7,1,0,0,0,0,8,376,Honourable mention
2022,Facundo,Méndez,6,1,0,7,1,0,15,394,Honourable mention
2011,Alejo,Garcia Sassi,7,0,0,2,0,0,9,378,Honourable mention
2006,Daniel,Wahrmann Lockhart,7,1,0,2,0,0,10,335,Honourable mention
2023,Facundo,Méndez,7,1,0,2,2,0,12,416,Honourable mention
2020,Hernán Ezequiel,Puschiasis Picapiedra,7,0,1,0,0,0,8,419,Honourable mention
2015,Dino Vincenso,Puppo Tito,0,0,0,7,1,0,8,394,Honourable mention
2014,Dino Vincenso,Puppo Tito,0,3,0,7,0,0,10,387,Honourable mention
2003,Fabián Ariel,Kozynski Waserman,7,0,0,0,0,0,7,320,Honourable mention
2023,Tobías,Rodríguez,7,1,1,1,0,0,10,441,Honourable mention
2014,Matías Gabriel,Szylkowski Resnikow,7,0,0,1,1,0,9,404,Honourable mention
2020,Dikran,Bakkalian,7,0,0,0,0,0,7,445,Honourable mention
2020,Vladimir Ismael,Silva Costa,7,0,0,0,0,0,7,445,Honourable mention
2008,Emiliano,Sequeira,7,0,0,0,0,0,7,392,Honourable mention
2022,Mauro,Akerman Cohn,7,1,0,3,1,0,12,436,Honourable mention
2014,Alberto Javier,Misail Guber,7,0,0,1,0,0,8,421,Honourable mention
2017,Juan Ignacio,Valero Villanueva,7,0,0,2,0,0,9,471,Honourable mention
2017,Iván,Gelós,7,0,0,2,0,0,9,471,Honourable mention
2024,Gastón Daniel,Correa Farías,7,0,0,0,0,0,7,487,Honourable mention
2017,Tabaré,Roland,7,0,0,1,0,0,8,497,Honourable mention
1999,Matias,Miguez,5,0,3,2,0,0,10,248,
2004,Eduardo,Senturión,6,1,0,0,4,0,11,295,
2000,Ariel,Ron,2,1,0,5,0,0,8,287,
2008,Juan Pablo,Garcia Garland,6,1,0,1,2,0,10,337,
2004,Daniel,Wahrmann Lockhart,6,1,0,0,3,0,10,315,
2004,Fabián Ariel,Kozynski Waserman,6,1,0,0,3,0,10,315,
2004,Federico,Bliman Agorio,6,1,2,0,0,0,9,335,
2001,Javier,Cóppola,2,0,1,0,2,0,5,327,
2005,Daniel,Wahrmann Lockhart,2,1,0,1,0,0,4,356,
2005,Daniel,Komornik Sardas,0,1,0,1,2,0,4,356,
2003,Federico,Bliman Agorio,5,0,0,2,0,0,7,320,
2021,Facundo,Méndez,2,0,0,2,0,0,4,439,
1987,Marcelo,Aguiar Solari,1,7,0,1,0,0,9,170,
2005,María,Soledad Villar Lozano,0,2,0,1,0,0,3,368,
2000,Javier,Cóppola,2,1,0,3,0,0,6,333,
1987,Hugo,Dall'Orto,0,3,1,0,4,0,8,175,
2003,Daniel,Wahrmann Lockhart,2,0,0,3,0,0,5,346,
