Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1978,Mark,Kleiman,6,7,8,5,6,8,40,1,Gold medal
1975,Paul,Herdeg,6,7,7,6,6,8,40,1,Gold medal
1975,Paul,Vojta,6,7,7,6,6,8,40,1,Gold medal
1977,Michael,Larsen,6,6,7,6,7,8,40,1,Gold medal
1977,Randall,Dougherty,6,6,7,6,7,8,40,1,Gold medal
1981,Noam,Elkies,7,7,7,7,7,7,42,1,Gold medal
1984,David,Moews,7,7,7,7,7,7,42,1,Gold medal
1987,Eric K.,Wepsic,7,7,7,7,7,7,42,1,Gold medal
1987,Jordan S.,Ellenberg,7,7,7,7,7,7,42,1,Gold medal
1989,Jordan S.,Ellenberg,7,7,7,7,7,7,42,1,Gold medal
1997,Carl,Bosley,7,7,7,7,7,7,42,1,Gold medal
2001,Reid,Barton,7,7,7,7,7,7,42,1,Gold medal
2001,Gabriel,Carroll,7,7,7,7,7,7,42,1,Gold medal
2005,Brian,Lawrence,7,7,7,7,7,7,42,1,Gold medal
1981,Benji,Fisher,7,7,7,7,7,7,42,1,Gold medal
1981,Jeremy,Primer,7,7,7,7,7,7,42,1,Gold medal
1981,Brian,Hunt,7,7,7,7,7,7,42,1,Gold medal
1994,Stephen,Wang,7,7,7,7,7,7,42,1,Gold medal
1994,Jeremy,Bem,7,7,7,7,7,7,42,1,Gold medal
1994,Jonathan,Weinstein,7,7,7,7,7,7,42,1,Gold medal
1994,Aleksandr,Khazanov,7,7,7,7,7,7,42,1,Gold medal
1994,Noam,Shazeer,7,7,7,7,7,7,42,1,Gold medal
1994,Jacob,Lurie,7,7,7,7,7,7,42,1,Gold medal
2008,Alex (Lin),Zhai,7,7,7,7,7,7,42,1,Gold medal
2018,James,Lin,7,7,7,7,7,7,42,1,Gold medal
2016,Yuan,Yao,7,7,7,7,7,7,42,1,Gold medal
2016,Allen,Liu,7,7,7,7,7,7,42,1,Gold medal
2023,Derek,Liu,7,7,7,7,7,7,42,1,Gold medal
2019,Colin Shanmo,Tang,7,7,7,7,7,7,42,1,Gold medal
2019,Daniel,Zhu,7,7,7,7,7,7,42,1,Gold medal
2010,Evan,O'Dorney,6,7,5,7,7,7,39,2,Gold medal
2021,Luke,Robitaille,7,1,7,7,7,7,36,3,Gold medal
2024,Alexander,Wang,7,7,3,7,7,7,38,3,Gold medal
2018,Mihir Anand,Singhal,7,7,5,7,7,7,40,3,Gold medal
2012,Bobby,Shen,7,7,4,7,7,7,39,3,Gold medal
2020,Luke,Robitaille,7,7,7,7,7,1,36,4,Gold medal
2011,David,Yang,7,7,7,7,7,1,36,4,Gold medal
2002,Po-Ru,Loh,7,7,1,7,7,7,36,4,Gold medal
2024,Jessica,Wan,7,7,5,7,7,2,35,5,Gold medal
2015,Allen,Liu,7,7,7,7,1,6,35,5,Gold medal
2015,David,Stoner,7,7,7,7,7,0,35,5,Gold medal
1996,Alexander Harry,Saltman,7,7,7,7,2,7,37,4,Gold medal
1993,Lenhard,Ng,7,7,7,2,7,7,37,4,Gold medal
2023,Alexander,Wang,7,7,7,7,7,6,41,6,Gold medal
2017,James,Lin,7,7,0,7,7,2,30,6,Gold medal
2000,Reid,Barton,7,7,7,7,7,4,39,5,Gold medal
2007,Alex (Lin),Zhai,7,7,3,7,7,1,32,7,Gold medal
2007,Sherry,Gong,7,7,3,7,7,1,32,7,Gold medal
2004,Oleg,Gol'berg,7,7,5,7,7,7,40,7,Gold medal
1997,Nathan,Curtis,7,7,7,7,7,5,40,7,Gold medal
1996,Christopher C.,Chang,7,7,6,7,2,7,36,7,Gold medal
1986,Joseph,Keane,7,7,7,7,6,7,41,4,Gold medal
1976,Mark,Kleiman,5,7,6,6,7,7,38,3,Gold medal
2012,David,Yang,7,7,7,7,1,7,36,9,Gold medal
2018,Vincent,Huang,7,6,2,7,7,7,36,10,Gold medal
