Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2001,Adolfo,Rodríguez,7,7,0,7,7,0,28,46,Silver medal
2002,Adolfo,Rodríguez,7,7,0,3,6,0,23,99,Silver medal
2017,Wemp,Pacheco,7,3,0,7,0,0,17,188,Bronze medal
2016,Wemp,Pacheco,7,2,0,7,0,0,16,253,Bronze medal
2017,Amanda,Vanegas,7,0,0,7,2,0,16,265,Bronze medal
2002,Paul,Monasterio,0,5,0,6,3,0,14,220,Bronze medal
2001,Paul,Monasterio,5,0,0,1,5,0,11,228,Bronze medal
2021,Mariángeles,Mavárez Rangel,4,0,0,7,0,0,11,304,Honourable mention
2005,Roland,Hablutzel,2,1,0,7,0,0,10,261,Honourable mention
2010,Carmela,Acevedo,5,1,0,7,1,0,14,266,Honourable mention
2007,Sofía,Taylor,3,0,0,7,2,0,12,266,Honourable mention
2017,Laura,Queipo,7,0,0,7,0,0,14,342,Honourable mention
2014,Rafael,Aznar,7,0,0,7,0,0,14,321,Honourable mention
2012,Diego,Peña,7,0,0,4,0,0,11,315,Honourable mention
2001,Héctor,Chang,7,1,0,0,0,0,8,277,Honourable mention
2011,Diego,Peña,7,0,0,3,1,0,11,338,Honourable mention
2021,Francisco Javier,Molina Tirado,7,0,0,0,0,0,7,372,Honourable mention
2020,Francisco Javier,Molina Tirado,7,1,0,3,0,0,11,371,Honourable mention
2002,Héctor,Chang,0,7,0,0,2,0,9,294,Honourable mention
2016,Iván,Rodríguez,7,0,0,4,0,0,11,379,Honourable mention
2008,Sofía,Taylor,2,0,0,7,1,0,10,337,Honourable mention
2011,Carlos,Lamas,7,0,0,2,1,0,10,356,Honourable mention
2015,Rafael,Aznar,1,0,0,7,1,0,9,365,Honourable mention
2013,Rubmary,Rojas Linarez,2,0,0,7,0,0,9,335,Honourable mention
2006,Andrés,Guzmán,7,1,0,3,0,0,11,319,Honourable mention
2006,Sofía,Taylor,7,1,0,2,0,0,10,335,Honourable mention
2020,Mariángeles,Mavárez Rangel,7,0,1,0,0,0,8,419,Honourable mention
2014,Jose Tomas,Guevara,3,0,0,7,0,0,10,387,Honourable mention
2004,Leonardo,Urbina,7,0,1,0,0,0,8,351,Honourable mention
2020,Marielv,Mavárez Rangel,7,0,0,0,0,0,7,445,Honourable mention
2020,Sabrina,Queipo,7,0,0,0,0,0,7,445,Honourable mention
2006,Rafael,Guédez,7,0,0,2,0,0,9,364,Honourable mention
2017,Iván,Rodríguez,7,1,0,2,0,0,10,457,Honourable mention
2023,Juan José,Martínez Barreto,7,0,0,1,0,0,8,490,Honourable mention
2002,Fernando,Delgado,0,6,0,4,0,0,10,281,
2009,Carmela,Acevedo,3,1,0,6,0,0,10,335,
1981,Maria Cristina,Pereyra,,,,,,,23,113,
2024,Juan José,Martínez Barreto,5,0,0,4,4,0,13,400,
2005,Leonardo,Urbina,2,1,0,1,1,0,5,341,
2000,David,Segui,2,2,0,3,0,0,7,309,
2001,Fernando,Delgado,1,0,0,4,0,0,5,327,
2021,Marielv,Mavárez Rangel,2,0,0,2,0,0,4,439,
2004,Rodrigo,Ipince,6,1,0,0,0,0,7,366,
2008,David José,Urdaneta Sandoval,1,1,0,4,0,0,6,406,
2021,Ricardo ,Carrillo Silva,2,0,0,0,0,0,2,470,
1981,Gustavo,Lau,,,,,,,14,141,
1982,Maria Cristina,Pereyra,0,2,2,0,7,0,11,91,
2003,José,Sanahuja,2,0,0,2,0,0,4,363,
2003,Aurora,Stephany,2,0,0,2,0,0,4,363,
2000,Kevin,Hernandez,0,1,0,3,0,0,4,368,
1982,Moisés,Lejter,1,0,0,2,7,0,10,96,
2015,Jose Tomas,Guevara,1,0,0,3,0,0,4,465,
2019,Juan Diego,Guevara Lugo,3,0,0,0,0,0,3,504,
2009,Mauricio,Marcano,2,1,0,0,0,0,3,459,
2012,Rubmary,Rojas Linarez,3,0,0,2,0,0,5,450,
1999,Tomas,Kabbabe S.,2,0,1,1,0,1,5,371,
1997,Daniel,Materassi,1,0,0,1,1,0,3,391,
1989,?,Diaz,0,3,0,1,0,0,4,248,
2016,Amanda,Vanegas,2,0,0,0,0,0,2,515,
2002,Aurora,Stephany,0,0,0,2,0,0,2,410,
2018,Laura,Queipo,1,1,0,0,0,0,2,511,
2023,Cristina Isabel,Puyosa Raffoul,2,0,0,1,0,0,3,535,
2006,Víctor,Villamizar,2,0,0,2,0,0,4,437,
2003,Rodrigo,Ipince,0,0,0,2,0,0,2,402,
1981,Roberto,Cavalieros,,,,,,,9,164,
2022,Cristina Isabel,Puyosa Raffoul,0,0,0,4,0,0,4,532,
2001,Henry,Ipince,0,0,0,1,0,0,1,429,
1989,?,Cohen,0,0,0,1,0,1,2,265,
1997,Jacobo,Schneider,1,0,0,0,0,0,1,419,
1981,Boris,Ackerman,,,,,,,6,169,
2017,Onice,Aguilar,1,0,0,1,0,0,2,567,
2019,Sabrina,Queipo,0,0,0,0,0,0,0,573,
2022,Ricardo Andrés,Carrillo Silva,1,1,0,0,1,0,3,544,
1998,Ariel,Tapia,0,0,0,1,0,0,1,388,
2007,Carmela,Acevedo,0,1,0,0,0,0,1,482,
2007,Gilberto,Urdaneta,0,1,0,0,0,0,1,482,
2010,David José,Urdaneta Sandoval,2,0,0,0,0,0,2,484,
2024,Luis Fabrizio,Meléndez Antidormi,1,0,0,0,0,0,1,565,
1981,Moisés,Lejter,,,,,,,4,172,
1981,Oscar,Dos Reis,,,,,,,4,172,
1999,Kevin,Hernandez,2,0,0,1,0,0,3,422,
2012,Sergio,Villarroel,1,0,0,0,0,0,1,514,
1981,Nisin,Aquinin,,,,,,,3,175,
1982,Braulio,de Abreu,1,0,0,0,0,0,1,114,
