Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1982,Lê Tự Quốc,Thǎng,7,7,7,7,7,7,42,1,Gold medal
1979,Lê Bá,Khánh Trình,6,7,7,6,7,7,40,1,Gold medal
1984,Đàm,Thanh Sơn,7,7,7,7,7,7,42,1,Gold medal
1988,Ngô,Bào Châu,7,7,7,7,7,7,42,1,Gold medal
1989,Đinh Tien,Cuong,7,7,7,7,7,7,42,1,Gold medal
1995,Ngô,Đắc Tuấn,7,7,7,7,7,7,42,1,Gold medal
2003,Trọng Cảnh,Nguyễn,7,7,7,7,7,7,42,1,Gold medal
2003,Bảo,Lê Hùng Việt,7,7,7,7,7,7,42,1,Gold medal
1997,Anh,Đỗ Quốc,7,7,7,7,7,7,42,1,Gold medal
2022,Quy Dang,Ngo,7,7,7,7,7,7,42,1,Gold medal
2017,Hữu Quốc Huy,Hoàng,7,7,0,7,7,7,35,1,Gold medal
2020,Quy Dang,Ngo,7,7,7,7,7,1,36,4,Gold medal
2009,Hà,Khương Duy,7,7,7,7,7,4,39,4,Gold medal
1999,Hoàng,Lê Thái,7,7,3,7,7,7,38,4,Gold medal
1996,Ngô,Đắc Tuấn,7,7,7,7,2,7,37,4,Gold medal
1999,Quang Yên,Đỗ,7,7,1,7,7,7,36,6,Gold medal
2015,Xuân Trung,Vũ,7,7,7,7,6,0,34,8,Gold medal
2021,Bach Khoa,Do ,7,7,7,7,7,0,35,10,Gold medal
2015,Thế Hoàn,Nguyễn,7,5,7,7,5,0,31,10,Gold medal
2023,Viet Hung,Pham ,7,7,6,7,7,3,37,12,Gold medal
2018,Quang Bin,Nguyễn,7,7,7,7,7,0,35,12,Gold medal
2002,Gia,Vinh Anh Phạm,7,7,7,7,7,0,35,10,Gold medal
2002,Ngọc Minh,Vũ,7,7,7,7,7,0,35,10,Gold medal
2017,Quang Dũng,Lê,7,7,0,7,0,7,28,14,Gold medal
2017,Cảnh Hoàng,Nguyễn,7,7,0,7,7,0,28,14,Gold medal
