Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1989,Rade,Todorović,7,7,7,7,7,7,42,1,Gold medal
1963,Franc,Dacar,,,,,,,39,1,Gold medal
1981,Mladen,Despić,7,7,7,7,7,7,42,1,Gold medal
1999,Dušan,Đukić,7,7,4,7,7,4,36,6,Gold medal
1974,Jožef B.,Varga,5,6,8,6,7,7,39,7,Gold medal
1974,Miodrag,Živković,5,6,8,6,6,7,38,9,Gold medal
1978,Mladen,Bestvina,,,,,,,34,6,Silver medal
1979,Boban,Veličković,6,7,4,4,7,7,35,11,Silver medal
1970,Vladimir,Janković,5,7,8,6,6,2,34,9,Silver medal
2002,Milivoje,Lukić,7,7,1,7,6,0,28,40,Silver medal
1999,Predrag,Glišić,7,0,1,7,6,6,27,39,Silver medal
1998,Nikola,Petrović,7,7,2,7,7,0,30,38,Silver medal
1998,Dušan,Đukić,7,7,2,7,7,0,30,38,Silver medal
1998,Jelena,Spasojević,5,7,2,7,7,2,30,38,Silver medal
1975,Jožef B.,Varga,6,7,7,6,6,4,36,13,Silver medal
1992,Igor,Dolinka,7,7,7,6,0,3,30,32,Silver medal
1999,Ivan,Matić,7,7,2,7,3,0,26,45,Silver medal
1969,Vladimir,Janković,5,7,7,2,7,4,32,12,Silver medal
1970,Branislav,Sazdović,5,6,0,6,6,8,31,12,Silver medal
1970,Lazar,Milin,5,6,0,6,6,8,31,12,Silver medal
1977,Amer,Bešlagić,,,,,,,30,19,Silver medal
1992,Vladimir,Božin,7,7,7,3,0,5,29,39,Silver medal
1991,Mladen,Laudanović,7,7,2,6,7,7,36,39,Silver medal
1991,Igor,Dolinka,7,6,4,5,7,7,36,39,Silver medal
1995,Miroslav,Treml,7,5,7,7,1,7,34,54,Silver medal
1976,Mladen,Bestvina,5,0,8,6,1,7,27,19,Silver medal
1989,Rastko,Marinković,4,7,7,2,7,7,34,41,Silver medal
1969,Damir,Henč,5,7,5,2,7,4,30,17,Silver medal
1995,Đorđe,Milićević,7,7,5,7,7,0,33,61,Silver medal
1997,Dušan,Đukić,4,7,7,4,2,5,29,70,Silver medal
1998,Predrag,Glišić,7,7,2,4,7,0,27,67,Silver medal
1974,Miroslav,Jovanović,5,6,8,6,0,8,33,23,Silver medal
1989,Nebojša,Nikolić,7,5,0,7,7,7,33,48,Silver medal
1996,Đorđe,Milićević,4,7,2,7,1,1,22,71,Silver medal
1998,Isidora,Milin,3,7,2,7,7,0,26,73,Silver medal
1964,Viktor,Urumov,,,,,,,31,14,Silver medal
1966,Jovan,Vukmirović,,,,,,,38,14,Silver medal
1987,Rade,Todorović,7,7,7,7,7,0,35,45,Silver medal
1963,Ivan,Boljevski,,,,,,,31,13,Silver medal
2000,Milivoje,Lukić,7,7,0,7,1,0,22,89,Silver medal
1997,Nikola,Petrović,4,7,0,6,7,2,26,97,Silver medal
1982,Mladen,Despić,4,0,6,7,7,6,30,26,Silver medal
1982,Pavle,Pandžić,7,0,2,7,7,7,30,26,Silver medal
1989,Predrag,Grković,7,0,3,7,7,7,31,65,Silver medal
2001,Vladimir,Lazić,7,4,0,7,2,0,20,108,Silver medal
1977,Kostadin,Trenčevski,,,,,,,24,36,Silver medal
1977,Gorazd,Cvetič,,,,,,,24,36,Silver medal
1990,Miroslav,Šilović,1,7,0,7,7,1,23,71,Silver medal
1966,Aleksandar,Torgašev,,,,,,,37,19,Silver medal
1981,Nina,Ležaić,,,,,,,37,50,Silver medal
1963,Peter,Petek,,,,,,,28,18,Silver medal
1981,Nikola,Miljković,,,,,,,35,65,Silver medal
1970,Ninoslav,Ćirić,5,7,4,5,6,1,28,19,Bronze medal
1970,Damir,Henč,1,6,2,6,6,7,28,19,Bronze medal
1971,Lazar,Milin,5,0,1,6,7,2,21,20,Bronze medal
1970,Mirko,Janc,5,7,0,6,2,7,27,22,Bronze medal
1973,Boris,Lavrič,0,6,8,4,6,0,24,30,Bronze medal
2002,Aleksandar,Ilić,7,7,1,5,2,0,22,113,Bronze medal
1996,Vladimir,Brankov,4,1,7,0,0,7,19,102,Bronze medal
2000,Tijana,Kostić,7,7,0,6,0,0,20,111,Bronze medal
2000,Vladimir,Lazić,2,7,1,2,1,7,20,111,Bronze medal
1985,Roman,Drnovšek,1,7,1,2,7,2,20,54,Bronze medal
1997,Rade,Stanojević,4,7,7,4,0,1,23,120,Bronze medal
1997,Jelena,Spasojević,1,7,1,7,7,0,23,120,Bronze medal
1978,Amer,Bešlagić,,,,,,,24,35,Bronze medal
1979,Danko,Jocić,,,,,,,,,Bronze medal
1969,Zoran,Kadelburg,4,5,1,6,5,6,27,30,Bronze medal
1992,Velibor,Tintor,7,3,7,5,0,0,22,86,Bronze medal
2001,Milivoje,Lukić,7,1,1,7,2,0,18,127,Bronze medal
1988,Rade,Todorović,7,7,7,0,0,0,21,73,Bronze medal
1988,Tomaž,Slivnik,7,7,0,4,3,0,21,73,Bronze medal
2000,Tomislav,Radić,7,5,0,1,3,2,18,130,Bronze medal
1991,Vladimir,Baltić,5,6,3,6,7,0,27,90,Bronze medal
1996,Boris,Šobot,7,1,2,0,0,7,17,121,Bronze medal
1979,Gordan,Savin,,,,,,,,,Bronze medal
1963,Mila,Mršević,,,,,,,27,19,Bronze medal
1972,Vladimir,Vulović,5,5,0,7,3,6,26,32,Bronze medal
1969,Ljubomir,Čukić,5,6,1,2,7,4,25,34,Bronze medal
1987,Vlado,Kešelj,7,7,7,1,7,0,29,72,Bronze medal
1999,Rade,Stanojević,2,1,0,4,7,1,15,138,Bronze medal
1992,Ranko,Lazić,7,0,6,6,1,0,20,100,Bronze medal
